,temp,weather,market_value_diff,form_goal_diff,form_win_diff,HF_AD,HF_AG,HM_AM,HD_AF,HG_AF,best_player_diff,worst_player_diff,variance_players_diff,age_diff,goal_diff
0,11,Clear,343620000,1.4000000000000001,0.6000000000000001,10.481060606060595,-1.5416666666666714,-0.13888888888888573,-4.2474747474747545,5.138888888888886,5.0,0.0,10.23140495867768,-2.1818181818181834,1
1,3,Clear,-76320000,1.0,1.2,4.712121212121218,-8.083333333333329,2.8263888888888857,-6.0656565656565675,1.3888888888888857,-3.0,3.0,-10.082644628099171,0.0,1
2,5,Cloudy,351050000,0.19999999999999996,-0.6000000000000001,-2.700757575757578,-14.041666666666671,6.173611111111114,-1.6111111111111143,9.388888888888886,6.0,-7.0,28.396694214876028,0.09090909090908994,0
3,8,Cloudy,-51910000,1.0000000000000002,0.7999999999999999,5.958333333333343,6.541666666666671,1.9930555555555713,-3.3276515151515156,-1.6458333333333286,-2.0,5.0,-16.82644628099174,2.2727272727272734,5
4,5,Breezy,85190000,-0.40000000000000013,-0.20000000000000018,3.8964646464646506,-7.444444444444443,2.944444444444457,-3.148989898989896,0.5555555555555571,0.0,1.0,1.4545454545454533,1.0909090909090935,1
5,7,Showers,-4140000,1.95,1.1,2.584090909090918,-9.875,3.3333333333333286,-3.906565656565661,-1.1111111111111143,0.0,5.0,-11.107438016528928,-1.0,-3
6,10,Cloudy,-77940000,-0.5999999999999999,-1.0000000000000002,2.5656565656565675,-10.638888888888886,1.5138888888888857,-17.903409090909093,3.4375,-2.0,-20.0,50.79338842975207,0.09090909090908994,-3
7,11,Cloudy,-77940000,1.7999999999999998,1.4000000000000001,5.121212121212125,7.916666666666671,-3.8291666666666657,-2.492424242424235,7.416666666666671,4.0,8.0,-2.644628099173553,2.09090909090909,-3
8,4,Cloudy,-130810000,1.1999999999999997,1.0,2.787878787878782,-10.416666666666671,1.7222222222222143,-8.361111111111114,-2.6111111111111143,-5.0,2.0,-10.297520661157023,-0.18181818181818343,-2
9,15,Cloudy,353700000,2.1,0.8500000000000001,10.856060606060595,-1.1666666666666714,6.756944444444443,-2.1792929292929273,9.638888888888886,7.0,7.0,-1.3884297520661182,-1.90909090909091,2
10,12,Rain,-72680000,-0.6,-0.19999999999999996,1.4949494949494948,-10.527777777777771,0.6111111111111001,-8.042929292929301,2.6388888888888857,-3.0,-2.0,-3.090909090909091,-2.09090909090909,-1
11,12,Cloudy,-122400000,-0.6000000000000001,-0.19999999999999996,3.800505050505052,-8.222222222222214,-6.055555555555557,-7.62626262626263,4.305555555555557,-1.0,-7.0,8.413223140495873,0.3636363636363633,0
12,7,Cloudy,-139720000,0.8,0.9999999999999999,3.6767676767676676,-9.527777777777786,-0.43055555555555713,-5.517045454545453,-7.3125,-5.0,3.0,-18.793388429752063,0.45454545454545325,1
13,3,Cloudy,218610000,1.0,0.7999999999999999,9.022727272727266,-3.0,5.888888888888886,-4.398989898989896,3.805555555555557,3.0,-3.0,7.867768595041317,-1.8181818181818201,1
14,10,Showers,-66870000,0.25,0.5,6.3838383838383805,-5.638888888888886,1.8194444444444429,-3.9034090909090935,5.4375,-1.0,1.0,-5.272727272727275,-1.4545454545454533,0
15,8,Cloudy,-168930000,-1.2000000000000002,-0.7999999999999998,1.9545454545454533,-11.25,-2.319444444444443,-18.116161616161612,-2.1388888888888857,-6.0,-16.0,22.51239669421488,-0.7272727272727302,0
16,8,Cloudy,254530000,-0.20000000000000018,0.6000000000000001,-4.893939393939405,-6.916666666666671,4.158333333333346,-1.880681818181813,11.104166666666671,5.0,-20.0,97.42148760330579,-2.6363636363636367,1
17,2,Cloudy,327830000,-2.220446049250313e-16,-0.5999999999999999,7.568181818181827,-3.749999999999986,6.020833333333329,1.1462121212121303,5.291666666666671,6.0,2.0,3.8646056524844443,-0.6666666666666679,4
18,7,Cloudy,11480000,-2.35,-1.35,-6.518939393939405,-18.54166666666667,1.7222222222222285,-2.5444444444444514,5.305555555555557,-1.0,2.0,-5.04132231404959,0.45454545454545325,0
19,11,Cloudy,466020000,0.9999999999999998,0.6000000000000001,12.790151515151521,0.4583333333333286,3.7777777777777715,-1.3007575757575864,5.458333333333329,6.0,15.0,-12.462809917355372,0.6363636363636367,3
20,3,Cloudy,46080000,1.8,1.4,-1.2196969696969688,-12.0,7.270833333333329,-1.6409090909091049,7.999999999999986,0.0,1.0,-1.2066115702479356,2.0,0
21,8,Cloudy,473450000,-1.0000000000000002,-0.6000000000000001,-2.3522727272727337,-13.125,9.0486111111111,3.7272727272727337,15.5,7.0,-8.0,34.09917355371901,-1.2727272727272734,-3
22,0,Clear,70490000,0.19999999999999996,1.0,5.1338383838383805,-5.638888888888886,4.083333333333329,-1.7550505050505194,-3.5277777777777857,-1.0,-3.0,8.92561983471074,-1.4545454545454533,0
23,13,Cloudy,207590000,1.2,0.8,4.140151515151516,-7.791666666666671,5.576388888888886,-3.6414141414141454,2.4722222222222143,1.0,0.0,23.636363636363637,-1.0,1
24,8,Cloudy,118260000,2.220446049250313e-16,-0.20000000000000018,2.161616161616166,-8.6111111111111,4.791666666666671,-2.9328282828282823,1.4444444444444429,-2.0,-1.0,1.0082644628099224,-0.9090909090909065,1
25,14,Cloudy,44460000,-1.4,-0.6000000000000001,4.064393939393938,-6.708333333333329,-2.7208333333333172,-5.249999999999986,4.5,-2.0,-9.0,10.214876033057855,0.45454545454545325,1
26,8,Cloudy,-8410000,1.0,0.6000000000000001,4.685606060606062,-8.291666666666671,5.6875,-5.26136363636364,0.875,-4.0,8.0,-14.000000000000004,0.0,0
