,goals_for,goals_against,team,game_id
6702,1.0,1.0,AS Monaco,670
6703,4.0,0.0,AS Monaco,670
6704,0.0,4.0,AS Monaco,670
6705,2.0,1.0,Lille OSC,670
6706,1.0,2.0,Lille OSC,670
6707,2.0,2.0,Lille OSC,670
6708,2.0,2.0,Lille OSC,670
6709,0.0,3.0,Lille OSC,670
6710,2.0,1.0,FC Girondins de Bordeaux,671
6711,0.0,0.0,FC Girondins de Bordeaux,671
6712,1.0,0.0,FC Girondins de Bordeaux,671
6713,3.0,2.0,FC Girondins de Bordeaux,671
6714,0.0,2.0,FC Girondins de Bordeaux,671
6715,0.0,2.0,Stade Rennais FC,671
6716,2.0,0.0,Stade Rennais FC,671
6717,2.0,2.0,Stade Rennais FC,671
6718,0.0,2.0,Stade Rennais FC,671
6719,0.0,1.0,Stade Rennais FC,671
6720,0.0,2.0,Amiens SCF,672
6721,0.0,1.0,Amiens SCF,672
6722,0.0,0.0,Amiens SCF,672
6723,3.0,2.0,Amiens SCF,672
6724,0.0,2.0,Amiens SCF,672
6725,0.0,2.0,ES Troyes AC,672
6726,2.0,0.0,ES Troyes AC,672
6727,0.0,0.0,ES Troyes AC,672
6728,1.0,0.0,ES Troyes AC,672
6729,2.0,1.0,ES Troyes AC,672
