,home,away,league,game_id,season,temp,weather_desc,date
51,Dijon FCO,Angers SCO,Ligue_1,371,2017-2018,13C,Clear,19-May-18
52,Olympique Lyonnais,OGC Nice,Ligue_1,372,2017-2018,13C,Cloudy,19-May-18
53,Olympique de Marseille,Amiens SCF,Ligue_1,373,2017-2018,20C,Cloudy,19-May-18
54,FC Metz,FC Girondins de Bordeaux,Ligue_1,374,2017-2018,13C,Clear,19-May-18
55,FC Nantes,RC Strasbourg,Ligue_1,375,2017-2018,15C,Clear,19-May-18
56,Stade Rennais FC,Montpellier-HSC,Ligue_1,376,2017-2018,13C,Clear,19-May-18
57,AS Saint-Etienne,Lille OSC,Ligue_1,377,2017-2018,13C,Cloudy,19-May-18
58,Toulouse FC,EA Guingamp,Ligue_1,378,2017-2018,17C,Cloudy,19-May-18
59,ES Troyes AC,AS Monaco,Ligue_1,379,2017-2018,13C,Clear,19-May-18
60,Leganés,Deportivo Alaves,La_Liga,380,2017-2018,22C,Clear,18-Aug-17
61,Valencia,Las Palmas,La_Liga,381,2017-2018,25C,Cloudy,18-Aug-17
62,Celta Vigo,Real Sociedad,La_Liga,382,2017-2018,15C,Cloudy,19-Aug-17
63,Girona,Atletico Madrid,La_Liga,383,2017-2018,18C,Showers,19-Aug-17
64,Sevilla,Espanyol de Barcelona,La_Liga,384,2017-2018,23C,Clear,19-Aug-17
65,Athletic Club,Getafe,La_Liga,385,2017-2018,13C,Cloudy,20-Aug-17
66,Barcelona,Real Betis,La_Liga,386,2017-2018,23C,Cloudy,20-Aug-17
67,Deportivo La Coruña,Real Madrid,La_Liga,387,2017-2018,17C,Clear,20-Aug-17
68,Levante,Villarreal,La_Liga,388,2017-2018,25C,Cloudy,21-Aug-17
69,Malaga,Eibar,La_Liga,389,2017-2018,25C,Cloudy,21-Aug-17
70,Real Sociedad,Villarreal,La_Liga,390,2017-2018,18C,Cloudy,25-Aug-17
71,Real Betis,Celta Vigo,La_Liga,391,2017-2018,22C,Cloudy,25-Aug-17
72,Deportivo Alaves,Barcelona,La_Liga,392,2017-2018,17C,Cloudy,26-Aug-17
73,Girona,Malaga,La_Liga,393,2017-2018,21C,Cloudy,26-Aug-17
74,Levante,Deportivo La Coruña,La_Liga,394,2017-2018,25C,Cloudy,26-Aug-17
75,Las Palmas,Atletico Madrid,La_Liga,395,2017-2018,22C,Clear,26-Aug-17
76,Eibar,Athletic Club,La_Liga,396,2017-2018,20C,Cloudy,27-Aug-17
77,Espanyol de Barcelona,Leganés,La_Liga,397,2017-2018,28C,Cloudy,27-Aug-17
78,Getafe,Sevilla,La_Liga,398,2017-2018,18C,Showers,27-Aug-17
79,Real Madrid,Valencia,La_Liga,399,2017-2018,23C,Thunderstorms,27-Aug-17
80,Leganés,Getafe,La_Liga,400,2017-2018,18C,Cloudy,08-Sep-17
81,Real Madrid,Levante,La_Liga,401,2017-2018,21C,Cloudy,09-Sep-17
82,Valencia,Atletico Madrid,La_Liga,402,2017-2018,21C,Clear,09-Sep-17
83,Sevilla,Eibar,La_Liga,403,2017-2018,17C,Cloudy,09-Sep-17
84,Barcelona,Espanyol de Barcelona,La_Liga,404,2017-2018,18C,Cloudy,09-Sep-17
85,Deportivo La Coruña,Real Sociedad,La_Liga,405,2017-2018,15C,Cloudy,10-Sep-17
86,Athletic Club,Girona,La_Liga,406,2017-2018,13C,Cloudy,10-Sep-17
87,Celta Vigo,Deportivo Alaves,La_Liga,407,2017-2018,13C,Cloudy,10-Sep-17
88,Villarreal,Real Betis,La_Liga,408,2017-2018,12C,Clear,10-Sep-17
89,Malaga,Las Palmas,La_Liga,409,2017-2018,17C,Cloudy,11-Sep-17
90,Eibar,Leganés,La_Liga,410,2017-2018,8C,Clear,15-Sep-17
91,Levante,Valencia,La_Liga,411,2017-2018,15C,Cloudy,16-Sep-17
92,Getafe,Barcelona,La_Liga,412,2017-2018,11C,Cloudy,16-Sep-17
93,Real Betis,Deportivo La Coruña,La_Liga,413,2017-2018,15C,Clear,16-Sep-17
94,Atletico Madrid,Malaga,La_Liga,414,2017-2018,11C,Cloudy,16-Sep-17
95,Deportivo Alaves,Villarreal,La_Liga,415,2017-2018,4C,Cloudy,17-Sep-17
96,Girona,Sevilla,La_Liga,416,2017-2018,8C,Cloudy,17-Sep-17
97,Las Palmas,Athletic Club,La_Liga,417,2017-2018,20C,Cloudy,17-Sep-17
98,Real Sociedad,Real Madrid,La_Liga,418,2017-2018,11C,Cloudy,17-Sep-17
99,Espanyol de Barcelona,Celta Vigo,La_Liga,419,2017-2018,17C,Cloudy,18-Sep-17
100,Valencia,Malaga,La_Liga,420,2017-2018,18C,Sunny,19-Sep-17
101,Barcelona,Eibar,La_Liga,421,2017-2018,16C,Showers,19-Sep-17
102,Athletic Club,Atletico Madrid,La_Liga,422,2017-2018,8C,Clear,20-Sep-17
103,Leganés,Girona,La_Liga,423,2017-2018,15C,Cloudy,20-Sep-17
