,home,away,league,game_id,season,temp,weather_desc,date
0,Angers SCO,OGC Nice,Ligue_1,320,2017-2018,13C,Cloudy,13-Apr-18
1,Olympique Lyonnais,Amiens SCF,Ligue_1,321,2017-2018,11C,Showers,14-Apr-18
2,Lille OSC,EA Guingamp,Ligue_1,322,2017-2018,6C,Cloudy,14-Apr-18
3,FC Nantes,Dijon FCO,Ligue_1,323,2017-2018,16C,Cloudy,14-Apr-18
4,Stade Rennais FC,FC Metz,Ligue_1,324,2017-2018,16C,Cloudy,14-Apr-18
5,RC Strasbourg,AS Saint-Etienne,Ligue_1,325,2017-2018,6C,Cloudy,14-Apr-18
6,Montpellier-HSC,FC Girondins de Bordeaux,Ligue_1,326,2017-2018,21C,Sunny,15-Apr-18
7,ES Troyes AC,Olympique de Marseille,Ligue_1,327,2017-2018,17C,Cloudy,15-Apr-18
8,Paris Saint-Germain FC,AS Monaco,Ligue_1,328,2017-2018,10C,Cloudy,15-Apr-18
9,FC Nantes,Stade Rennais FC,Ligue_1,329,2017-2018,27C,Sunny,20-Apr-18
10,Dijon FCO,Olympique Lyonnais,Ligue_1,330,2017-2018,16C,Cloudy,20-Apr-18
11,Olympique de Marseille,Lille OSC,Ligue_1,331,2017-2018,27C,Sunny,21-Apr-18
12,Amiens SCF,RC Strasbourg,Ligue_1,332,2017-2018,26C,Cloudy,21-Apr-18
13,EA Guingamp,AS Monaco,Ligue_1,333,2017-2018,22C,Sunny,21-Apr-18
14,FC Metz,Stade Malherbe Caen,Ligue_1,334,2017-2018,27C,Cloudy,21-Apr-18
15,Toulouse FC,Angers SCO,Ligue_1,335,2017-2018,26C,Sunny,21-Apr-18
16,OGC Nice,Montpellier-HSC,Ligue_1,336,2017-2018,21C,Sunny,22-Apr-18
17,AS Saint-Etienne,ES Troyes AC,Ligue_1,337,2017-2018,23C,Cloudy,22-Apr-18
18,FC Girondins de Bordeaux,Paris Saint-Germain FC,Ligue_1,338,2017-2018,25C,Cloudy,22-Apr-18
19,Stade Malherbe Caen,Toulouse FC,Ligue_1,339,2017-2018,13C,Cloudy,25-Apr-18
20,Montpellier-HSC,AS Saint-Etienne,Ligue_1,340,2017-2018,12C,Cloudy,27-Apr-18
21,Olympique Lyonnais,FC Nantes,Ligue_1,341,2017-2018,17C,Cloudy,28-Apr-18
22,FC Girondins de Bordeaux,Dijon FCO,Ligue_1,342,2017-2018,12C,Rain,28-Apr-18
23,Lille OSC,FC Metz,Ligue_1,343,2017-2018,13C,Cloudy,28-Apr-18
24,AS Monaco,Amiens SCF,Ligue_1,344,2017-2018,18C,Cloudy,28-Apr-18
25,RC Strasbourg,OGC Nice,Ligue_1,345,2017-2018,19C,Cloudy,28-Apr-18
26,ES Troyes AC,Stade Malherbe Caen,Ligue_1,346,2017-2018,11C,Showers,28-Apr-18
27,Stade Rennais FC,Toulouse FC,Ligue_1,347,2017-2018,8C,Showers,29-Apr-18
28,Angers SCO,Olympique de Marseille,Ligue_1,348,2017-2018,11C,Rain,29-Apr-18
29,Paris Saint-Germain FC,EA Guingamp,Ligue_1,349,2017-2018,10C,Cloudy,29-Apr-18
30,Amiens SCF,Paris Saint-Germain FC,Ligue_1,350,2017-2018,10C,Clear,04-May-18
31,AS Saint-Etienne,FC Girondins de Bordeaux,Ligue_1,351,2017-2018,23C,Cloudy,06-May-18
32,Olympique Lyonnais,ES Troyes AC,Ligue_1,352,2017-2018,27C,Sunny,06-May-18
33,Stade Malherbe Caen,AS Monaco,Ligue_1,353,2017-2018,20C,Sunny,06-May-18
34,Dijon FCO,EA Guingamp,Ligue_1,354,2017-2018,25C,Sunny,06-May-18
35,FC Metz,Angers SCO,Ligue_1,355,2017-2018,25C,Sunny,06-May-18
36,FC Nantes,Montpellier-HSC,Ligue_1,356,2017-2018,25C,Sunny,06-May-18
37,Stade Rennais FC,RC Strasbourg,Ligue_1,357,2017-2018,25C,Cloudy,06-May-18
38,Toulouse FC,Lille OSC,Ligue_1,358,2017-2018,23C,Cloudy,06-May-18
39,Olympique de Marseille,OGC Nice,Ligue_1,359,2017-2018,22C,Cloudy,06-May-18
40,EA Guingamp,Olympique de Marseille,Ligue_1,360,2017-2018,13C,Showers,11-May-18
41,Amiens SCF,FC Metz,Ligue_1,361,2017-2018,18C,Cloudy,12-May-18
42,Angers SCO,FC Nantes,Ligue_1,362,2017-2018,9C,Rain,12-May-18
43,FC Girondins de Bordeaux,Toulouse FC,Ligue_1,363,2017-2018,11C,Cloudy,12-May-18
44,Lille OSC,Dijon FCO,Ligue_1,364,2017-2018,23C,Cloudy,12-May-18
45,AS Monaco,AS Saint-Etienne,Ligue_1,365,2017-2018,18C,Sunny,12-May-18
46,Montpellier-HSC,ES Troyes AC,Ligue_1,366,2017-2018,17C,Cloudy,12-May-18
47,OGC Nice,Stade Malherbe Caen,Ligue_1,367,2017-2018,20C,Sunny,12-May-18
48,Paris Saint-Germain FC,Stade Rennais FC,Ligue_1,368,2017-2018,20C,Cloudy,12-May-18
49,RC Strasbourg,Olympique Lyonnais,Ligue_1,369,2017-2018,21C,Cloudy,12-May-18
50,Stade Malherbe Caen,Paris Saint-Germain FC,Ligue_1,370,2017-2018,9C,Clear,19-May-18
