,home,away,league,game_id,season,temp,weather_desc,date
0,Burnley,Liverpool,FA_Premier_League,210,2017-2018,5C,Showers,01-Jan-18
1,Leicester City,Huddersfield Town,FA_Premier_League,211,2017-2018,5C,Cloudy,01-Jan-18
2,Stoke City,Newcastle United,FA_Premier_League,212,2017-2018,6C,Cloudy,01-Jan-18
3,Everton,Manchester United,FA_Premier_League,213,2017-2018,6C,Cloudy,01-Jan-18
4,Southampton,Crystal Palace,FA_Premier_League,214,2017-2018,4C,Cloudy,02-Jan-18
5,Swansea City,Tottenham Hotspur,FA_Premier_League,215,2017-2018,5C,Cloudy,02-Jan-18
6,West Ham United,West Bromwich Albion,FA_Premier_League,216,2017-2018,5C,Cloudy,02-Jan-18
7,Manchester City,Watford,FA_Premier_League,217,2017-2018,3C,Cloudy,02-Jan-18
8,Arsenal,Chelsea,FA_Premier_League,218,2017-2018,9C,Showers,03-Jan-18
9,Tottenham Hotspur,West Ham United,FA_Premier_League,219,2017-2018,6C,Rain,04-Jan-18
10,Chelsea,Leicester City,FA_Premier_League,220,2017-2018,5C,Cloudy,13-Jan-18
11,Crystal Palace,Burnley,FA_Premier_League,221,2017-2018,5C,Cloudy,13-Jan-18
12,Huddersfield Town,West Ham United,FA_Premier_League,222,2017-2018,4C,Cloudy,13-Jan-18
13,Newcastle United,Swansea City,FA_Premier_League,223,2017-2018,5C,Cloudy,13-Jan-18
14,Watford,Southampton,FA_Premier_League,224,2017-2018,4C,Cloudy,13-Jan-18
15,West Bromwich Albion,Brighton & Hove Albion,FA_Premier_League,225,2017-2018,3C,Cloudy,13-Jan-18
16,Tottenham Hotspur,Everton,FA_Premier_League,226,2017-2018,5C,Cloudy,13-Jan-18
17,Bournemouth,Arsenal,FA_Premier_League,227,2017-2018,4C,Cloudy,14-Jan-18
18,Liverpool,Manchester City,FA_Premier_League,228,2017-2018,4C,Cloudy,14-Jan-18
19,Manchester United,Stoke City,FA_Premier_League,229,2017-2018,7C,Cloudy,15-Jan-18
20,Brighton & Hove Albion,Chelsea,FA_Premier_League,230,2017-2018,3C,Showers,20-Jan-18
21,Arsenal,Crystal Palace,FA_Premier_League,231,2017-2018,3C,Cloudy,20-Jan-18
22,Burnley,Manchester United,FA_Premier_League,232,2017-2018,0C,Showers,20-Jan-18
23,Everton,West Bromwich Albion,FA_Premier_League,233,2017-2018,3C,Cloudy,20-Jan-18
24,Leicester City,Watford,FA_Premier_League,234,2017-2018,0C,Cloudy,20-Jan-18
25,Stoke City,Huddersfield Town,FA_Premier_League,235,2017-2018,1C,Cloudy,20-Jan-18
26,West Ham United,Bournemouth,FA_Premier_League,236,2017-2018,3C,Cloudy,20-Jan-18
27,Manchester City,Newcastle United,FA_Premier_League,237,2017-2018,2C,Cloudy,20-Jan-18
28,Southampton,Tottenham Hotspur,FA_Premier_League,238,2017-2018,2C,Cloudy,21-Jan-18
