,goals_for,goals_against,team,game_id,date
0,1,0,Dijon FCO,133,05Nov
1,1,0,Dijon FCO,133,28Oct
2,1,2,Dijon FCO,133,25Oct
3,1,2,Dijon FCO,133,21Oct
4,1,2,Dijon FCO,133,14Oct
5,2,1,Toulouse FC,133,04Nov
6,0,0,Toulouse FC,133,29Oct
7,4,2,Toulouse FC,133,25Oct
8,0,1,Toulouse FC,133,21Oct
9,1,0,Toulouse FC,133,14Oct
10,0,3,FC Metz,134,05Nov
11,2,0,FC Metz,134,29Oct
12,1,0,FC Metz,134,25Oct
13,1,2,FC Metz,134,21Oct
14,3,1,FC Metz,134,14Oct
15,1,1,Amiens SCF,134,17Nov
16,1,1,Amiens SCF,134,04Nov
17,1,1,Amiens SCF,134,28Oct
18,1,2,Amiens SCF,134,25Oct
19,1,0,Amiens SCF,134,21Oct
20,1,1,Montpellier-HSC,135,04Nov
21,0,1,Montpellier-HSC,135,28Oct
22,0,2,Montpellier-HSC,135,24Oct
23,0,1,Montpellier-HSC,135,20Oct
24,2,0,Montpellier-HSC,135,15Oct
25,3,1,Lille OSC,135,17Nov
26,0,3,Lille OSC,135,05Nov
27,0,1,Lille OSC,135,29Oct
28,2,2,Lille OSC,135,25Oct
29,1,0,Lille OSC,135,21Oct
30,3,0,ES Troyes AC,136,04Nov
31,1,0,ES Troyes AC,136,28Oct
32,1,2,ES Troyes AC,136,25Oct
33,0,5,ES Troyes AC,136,22Oct
34,2,2,ES Troyes AC,136,14Oct
35,0,5,Angers SCO,136,04Nov
36,2,2,Angers SCO,136,28Oct
37,3,2,Angers SCO,136,25Oct
38,0,1,Angers SCO,136,21Oct
39,0,2,Angers SCO,136,14Oct
40,1,1,OGC Nice,137,19Nov
41,1,0,OGC Nice,137,05Nov
42,1,0,OGC Nice,137,02Nov
43,3,0,OGC Nice,137,27Oct
44,1,2,OGC Nice,137,22Oct
45,0,0,Olympique Lyonnais,137,19Nov
46,0,5,Olympique Lyonnais,137,05Nov
47,3,0,Olympique Lyonnais,137,02Nov
48,2,0,Olympique Lyonnais,137,29Oct
49,0,5,Olympique Lyonnais,137,22Oct
50,1,1,Olympique de Marseille,138,19Nov
51,5,0,Olympique de Marseille,138,05Nov
52,1,0,Olympique de Marseille,138,02Nov
53,0,1,Olympique de Marseille,138,29Oct
54,2,2,Olympique de Marseille,138,22Oct
55,6,0,EA Guingamp,138,04Nov
56,1,1,EA Guingamp,138,28Oct
57,0,2,EA Guingamp,138,24Oct
58,2,1,EA Guingamp,138,21Oct
59,2,0,EA Guingamp,138,14Oct
60,1,4,AS Monaco,139,21Nov
61,1,1,AS Monaco,139,17Nov
62,6,0,AS Monaco,139,04Nov
63,3,2,AS Monaco,139,01Nov
64,1,1,AS Monaco,139,01Nov
65,7,1,Paris Saint-Germain FC,139,22Nov
66,4,1,Paris Saint-Germain FC,139,18Nov
67,0,5,Paris Saint-Germain FC,139,04Nov
68,2,3,Paris Saint-Germain FC,139,31Oct
69,5,0,Paris Saint-Germain FC,139,31Oct
70,3,0,Amiens SCF,140,20Nov
71,1,1,Amiens SCF,140,17Nov
72,1,1,Amiens SCF,140,04Nov
73,1,1,Amiens SCF,140,28Oct
74,1,2,Amiens SCF,140,25Oct
75,3,1,Dijon FCO,140,18Nov
76,1,0,Dijon FCO,140,05Nov
77,1,0,Dijon FCO,140,28Oct
78,1,2,Dijon FCO,140,25Oct
79,1,2,Dijon FCO,140,21Oct
80,2,1,RC Strasbourg,141,18Nov
81,3,0,RC Strasbourg,141,04Nov
82,2,2,RC Strasbourg,141,28Oct
83,1,1,RC Strasbourg,141,25Oct
84,1,2,RC Strasbourg,141,22Oct
85,1,1,Stade Malherbe Caen,141,19Nov
86,5,0,Stade Malherbe Caen,141,05Nov
87,1,0,Stade Malherbe Caen,141,28Oct
88,0,1,Stade Malherbe Caen,141,24Oct
89,2,0,Stade Malherbe Caen,141,21Oct
90,1,1,FC Girondins de Bordeaux,142,19Nov
91,1,0,FC Girondins de Bordeaux,142,03Nov
92,0,2,FC Girondins de Bordeaux,142,28Oct
93,1,0,FC Girondins de Bordeaux,142,21Oct
94,4,0,FC Girondins de Bordeaux,142,17Oct
95,3,1,AS Saint-Etienne,142,17Nov
96,0,5,AS Saint-Etienne,142,05Nov
97,0,0,AS Saint-Etienne,142,29Oct
98,1,1,AS Saint-Etienne,142,25Oct
99,0,1,AS Saint-Etienne,142,20Oct
100,1,1,Angers SCO,143,18Nov
101,0,5,Angers SCO,143,04Nov
102,2,2,Angers SCO,143,28Oct
103,3,2,Angers SCO,143,25Oct
