,goals_for,goals_against,team,game_id,date
0,1,1,Brighton & Hove Albion,354,17Apr
1,3,2,Brighton & Hove Albion,354,14Apr
2,1,1,Brighton & Hove Albion,354,07Apr
3,0,2,Brighton & Hove Albion,354,31Mar
4,2,0,Brighton & Hove Albion,354,17Mar
5,2,1,Manchester United,354,21Apr
6,0,2,Manchester United,354,18Apr
7,0,1,Manchester United,354,15Apr
8,2,3,Manchester United,354,07Apr
9,2,0,Manchester United,354,31Mar
10,1,1,Stoke City,355,22Apr
11,1,1,Stoke City,355,16Apr
12,1,2,Stoke City,355,07Apr
13,3,0,Stoke City,355,01Apr
14,1,2,Stoke City,355,17Mar
15,0,0,Crystal Palace,355,21Apr
16,3,2,Crystal Palace,355,14Apr
17,2,2,Crystal Palace,355,07Apr
18,1,2,Crystal Palace,355,31Mar
19,0,2,Crystal Palace,355,17Mar
