,name,position,team,game_id,player_id
0,Butland,XX,Stoke City,100,61705
1,Zouma,DF,Stoke City,100,62935
2,Shawcross,DF,Stoke City,100,11889
3,Wimmer,DF,Stoke City,100,58971
4,Pieters,DF,Stoke City,100,2302
5,Fletcher,MF,Stoke City,100,54
6,Allen,MF,Stoke City,100,22845
7,Diouf,FW,Stoke City,100,18699
8,Shaqiri,FW,Stoke City,100,36861
9,Sobhi,MF,Stoke City,100,110401
10,Choupo Moting,FW,Stoke City,100,11127
11,Schmeichel,XX,Leicester City,100,6670
12,Simpson,DF,Leicester City,100,7776
13,Morgan,DF,Leicester City,100,25714
14,Maguire,DF,Leicester City,100,57627
15,Fuchs,DF,Leicester City,100,13361
16,Ndidi,DM,Leicester City,100,80418
17,Iborra,MF,Leicester City,100,15489
18,Mahrez,FW,Leicester City,100,73506
19,Okazaki,FW,Leicester City,100,24460
20,Gray,FW,Leicester City,100,84046
21,Vardy,FW,Leicester City,100,63664
22,Lössl,XX,Huddersfield Town,101,19553
23,Hadergjonaj,DF,Huddersfield Town,101,84003
24,Zanka,DF,Huddersfield Town,101,10741
25,Schindler,DF,Huddersfield Town,101,53718
26,Malone,DF,Huddersfield Town,101,45923
27,Hogg,DM,Huddersfield Town,101,52049
28,Kachunga,FW,Huddersfield Town,101,51868
29,Ince,MF,Huddersfield Town,101,50793
30,Mooy,MF,Huddersfield Town,101,41166
31,van La Parra,FW,Huddersfield Town,101,25218
32,Depoitre,FW,Huddersfield Town,101,83353
33,Foster,XX,West Bromwich Albion,101,1885
34,Nyom,DF,West Bromwich Albion,101,53041
35,McAuley,DF,West Bromwich Albion,101,8615
36,Hegazy,DF,West Bromwich Albion,101,40854
37,Evans,DF,West Bromwich Albion,101,7777
38,Gibbs,DF,West Bromwich Albion,101,13484
39,Livermore,DM,West Bromwich Albion,101,40010
40,Krychowiak,DM,West Bromwich Albion,101,10589
41,Barry,DM,West Bromwich Albion,101,786
42,Robson Kanu,FW,West Bromwich Albion,101,25682
43,Rodriguez,FW,West Bromwich Albion,101,25205
44,Elliot,XX,Newcastle United,102,25215
45,Yedlin,DF,Newcastle United,102,76976
46,Lascelles,DF,Newcastle United,102,67932
47,Lejeune,DF,Newcastle United,102,46638
48,Javi Manquillo,DF,Newcastle United,102,70244
49,Ritchie,MF,Newcastle United,102,39240
50,Shelvey,MF,Newcastle United,102,25212
51,Hayden,DM,Newcastle United,102,83862
52,Atsu,MF,Newcastle United,102,59028
53,Gayle,FW,Newcastle United,102,63475
54,Joselu,FW,Newcastle United,102,40193
55,Begović,XX,Bournemouth,102,21972
56,Francis,DF,Bournemouth,102,9732
57,Cook,DF,Bournemouth,102,30461
58,Aké,DF,Bournemouth,102,71946
59,Daniels,DF,Bournemouth,102,46020
60,Surman,MF,Bournemouth,102,7742
61,Arter,MF,Bournemouth,102,13884
62,Ibe,MF,Bournemouth,102,62695
63,King,FW,Bournemouth,102,40835
64,Pugh,MF,Bournemouth,102,43020
65,Wilson,FW,Bournemouth,102,42854
66,Forster,XX,Southampton,103,13876
67,Cédric,DF,Southampton,103,46131
68,Yoshida,DF,Southampton,103,24453
69,van Dijk,DF,Southampton,103,58755
70,Bertrand,DF,Southampton,103,20621
71,Romeu,DM,Southampton,103,40786
72,Davis,MF,Southampton,103,791
73,Tadic,FW,Southampton,103,25134
74,Boufal,MF,Southampton,103,97253
75,Redmond,FW,Southampton,103,52548
76,Gabbiadini,FW,Southampton,103,46030
77,Pope,XX,Burnley,103,67170
78,Lowton,DF,Burnley,103,42552
79,Tarkowski,DF,Burnley,103,55365
80,Mee,DF,Burnley,103,40793
81,Ward,DF,Burnley,103,8614
82,Cork,DM,Burnley,103,12857
83,Defour,MF,Burnley,103,9295
84,Guðmundsson,FW,Burnley,103,49182
85,Hendrick,MF,Burnley,103,47298
86,Brady,MF,Burnley,103,53118
87,Wood,FW,Burnley,103,34201
88,Fabiański,XX,Swansea City,104,347
89,Naughton,DF,Swansea City,104,16232
90,Fernández,DF,Swansea City,104,26953
91,Mawson,DF,Swansea City,104,82782
92,Clucas,MF,Swansea City,104,48117
93,SY Ki,DM,Swansea City,104,24485
94,Dyer,MF,Swansea City,104,7734
95,Fer,MF,Swansea City,104,15022
96,Carroll,MF,Swansea City,104,55735
97,Ayew,FW,Swansea City,104,43399
98,Abraham,FW,Swansea City,104,97303
99,Ryan,XX,Brighton & Hove Albion,104,41314
100,Bruno,DF,Brighton & Hove Albion,104,11646
101,Duffy,DF,Brighton & Hove Albion,104,35497
102,Dunk,DF,Brighton & Hove Albion,104,47238
103,Bong,DF,Brighton & Hove Albion,104,14353
104,Knockaert,MF,Brighton & Hove Albion,104,50870
105,Stephens,MF,Brighton & Hove Albion,104,20617
106,Propper,MF,Brighton & Hove Albion,104,39059
107,Izquierdo,FW,Brighton & Hove Albion,104,47635
108,Groß,AM,Brighton & Hove Albion,104,34541
109,Murray,FW,Brighton & Hove Albion,104,26133
110,Hart,XX,West Ham United,105,3184
111,Kouyaté,DM,West Ham United,105,15881
112,Reid,DF,West Ham United,105,6211
113,Ogbonna,DF,West Ham United,105,6063
114,Fernandes,AM,West Ham United,105,80039
115,Noble,MF,West Ham United,105,4112
116,Obiang,MF,West Ham United,105,53286
117,Cresswell,DF,West Ham United,105,44073
118,Ayew,FW,West Ham United,105,12078
119,Lanzini,AM,West Ham United,105,50921
120,Hernández,FW,West Ham United,105,16954
121,Mignolet,XX,Liverpool,105,14326
122,Gomez,DF,Liverpool,105,93605
123,Matip,DF,Liverpool,105,42117
124,Klavan,DF,Liverpool,105,2440
125,Alberto,DF,Liverpool,105,69609
126,Wijnaldum,MF,Liverpool,105,7404
