,home,away,league,game_id,season,temp,weather_desc,date
0,Watford,Brighton & Hove Albion,FA_Premier_League,24,2017-2018,12C,Cloudy,26-Aug-17
1,Manchester United,Leicester City,FA_Premier_League,25,2017-2018,15C,Cloudy,26-Aug-17
2,Chelsea,Everton,FA_Premier_League,26,2017-2018,15C,Cloudy,27-Aug-17
3,West Bromwich Albion,Stoke City,FA_Premier_League,27,2017-2018,17C,Cloudy,27-Aug-17
4,Liverpool,Arsenal,FA_Premier_League,28,2017-2018,13C,Cloudy,27-Aug-17
5,Tottenham Hotspur,Burnley,FA_Premier_League,29,2017-2018,16C,Cloudy,27-Aug-17
6,Manchester City,Liverpool,FA_Premier_League,30,2017-2018,11C,Showers,09-Sep-17
7,Arsenal,Bournemouth,FA_Premier_League,31,2017-2018,11C,Cloudy,09-Sep-17
8,Brighton & Hove Albion,West Bromwich Albion,FA_Premier_League,32,2017-2018,10C,Clear,09-Sep-17
9,Everton,Tottenham Hotspur,FA_Premier_League,33,2017-2018,12C,Showers,09-Sep-17
10,Leicester City,Chelsea,FA_Premier_League,34,2017-2018,10C,Cloudy,09-Sep-17
11,Southampton,Watford,FA_Premier_League,35,2017-2018,12C,Sunny,09-Sep-17
12,Stoke City,Manchester United,FA_Premier_League,36,2017-2018,10C,Showers,09-Sep-17
13,Burnley,Crystal Palace,FA_Premier_League,37,2017-2018,11C,Showers,10-Sep-17
14,Swansea City,Newcastle United,FA_Premier_League,38,2017-2018,11C,Cloudy,10-Sep-17
15,West Ham United,Huddersfield Town,FA_Premier_League,39,2017-2018,15C,Cloudy,11-Sep-17
