,goals_for,goals_against,team,game_id,date
0,3,0,Angers SCO,320,17Mar
1,2,1,Angers SCO,320,14Mar
2,0,0,Angers SCO,320,10Mar
3,3,0,Angers SCO,320,03Mar
4,1,2,Angers SCO,320,24Feb
5,0,2,OGC Nice,320,01Apr
6,1,2,OGC Nice,320,18Mar
7,2,5,OGC Nice,320,11Mar
8,2,1,OGC Nice,320,02Mar
9,0,0,OGC Nice,320,25Feb
10,2,0,Olympique Lyonnais,321,01Apr
11,2,3,Olympique Lyonnais,321,18Mar
12,2,3,Olympique Lyonnais,321,15Mar
13,1,0,Olympique Lyonnais,321,11Mar
14,0,1,Olympique Lyonnais,321,08Mar
15,0,1,Amiens SCF,321,01Apr
16,1,1,Amiens SCF,321,17Mar
17,1,1,Amiens SCF,321,10Mar
18,0,2,Amiens SCF,321,03Mar
19,0,1,Amiens SCF,321,24Feb
20,0,1,Lille OSC,322,01Apr
21,2,1,Lille OSC,322,16Mar
22,1,1,Lille OSC,322,10Mar
23,2,1,Lille OSC,322,02Mar
24,1,2,Lille OSC,322,24Feb
25,2,1,EA Guingamp,322,01Apr
26,2,0,EA Guingamp,322,18Mar
27,2,5,EA Guingamp,322,11Mar
28,3,0,EA Guingamp,322,03Mar
29,2,2,EA Guingamp,322,24Feb
30,0,3,FC Nantes,323,01Apr
31,1,1,FC Nantes,323,18Mar
32,1,0,FC Nantes,323,10Mar
33,1,1,FC Nantes,323,04Mar
34,0,1,FC Nantes,323,24Feb
35,1,3,Dijon FCO,323,31Mar
36,2,2,Dijon FCO,323,17Mar
37,1,1,Dijon FCO,323,10Mar
38,2,2,Dijon FCO,323,03Mar
39,2,0,Dijon FCO,323,24Feb
40,1,1,Stade Rennais FC,324,04Apr
41,0,2,Stade Rennais FC,324,17Mar
42,1,1,Stade Rennais FC,324,10Mar
43,0,2,Stade Rennais FC,324,03Mar
44,2,0,Stade Rennais FC,324,24Feb
45,2,2,FC Metz,324,01Apr
46,1,1,FC Metz,324,18Mar
47,5,0,FC Metz,324,10Mar
48,1,1,FC Metz,324,03Mar
49,2,2,FC Metz,324,24Feb
50,2,2,RC Strasbourg,325,01Apr
51,2,2,RC Strasbourg,325,17Mar
52,1,3,RC Strasbourg,325,09Mar
53,2,0,RC Strasbourg,325,04Mar
54,0,0,RC Strasbourg,325,23Feb
55,0,3,AS Saint-Etienne,325,01Apr
56,2,0,AS Saint-Etienne,325,18Mar
57,1,1,AS Saint-Etienne,325,10Mar
58,2,2,AS Saint-Etienne,325,03Mar
59,1,1,AS Saint-Etienne,325,25Feb
60,1,3,Montpellier-HSC,326,01Apr
61,2,2,Montpellier-HSC,326,17Mar
62,1,1,Montpellier-HSC,326,10Mar
63,1,1,Montpellier-HSC,326,04Mar
64,0,0,Montpellier-HSC,326,23Feb
65,2,1,FC Girondins de Bordeaux,326,01Apr
66,0,2,FC Girondins de Bordeaux,326,17Mar
67,0,0,FC Girondins de Bordeaux,326,10Mar
68,2,1,FC Girondins de Bordeaux,326,02Mar
69,0,0,FC Girondins de Bordeaux,326,25Feb
70,0,2,ES Troyes AC,327,01Apr
71,1,1,ES Troyes AC,327,17Mar
72,1,0,ES Troyes AC,327,10Mar
73,0,2,ES Troyes AC,327,03Mar
74,2,0,ES Troyes AC,327,24Feb
75,0,0,Olympique de Marseille,327,08Apr
76,1,0,Olympique de Marseille,327,05Apr
77,1,3,Olympique de Marseille,327,31Mar
78,2,3,Olympique de Marseille,327,18Mar
79,1,2,Olympique de Marseille,327,15Mar
