,goals_for,goals_against,team,game_id,date
0,2,4,Deportivo La Coruña,424,10Sep
1,2,2,Deportivo La Coruña,424,26Aug
2,0,3,Deportivo La Coruña,424,20Aug
3,3,0,Deportivo La Coruña,424,20May
4,0,0,Deportivo La Coruña,424,14May
5,1,0,Deportivo Alaves,424,10Sep
6,0,2,Deportivo Alaves,424,26Aug
7,1,0,Deportivo Alaves,424,18Aug
8,3,1,Deportivo Alaves,424,27May
9,1,1,Deportivo Alaves,424,20May
10,10,0,Real Madrid,425,13Sep
11,3,0,Real Madrid,425,13Sep
12,1,1,Real Madrid,425,09Sep
13,2,2,Real Madrid,425,27Aug
14,0,3,Real Madrid,425,20Aug
15,3,1,Real Betis,425,10Sep
16,2,1,Real Betis,425,25Aug
17,2,0,Real Betis,425,20Aug
18,2,2,Real Betis,425,20May
19,1,1,Real Betis,425,14May
20,4,0,Sevilla,426,13Sep
21,2,2,Sevilla,426,13Sep
22,3,0,Sevilla,426,09Sep
23,0,1,Sevilla,426,27Aug
24,2,2,Sevilla,426,22Aug
25,1,3,Las Palmas,426,11Sep
26,1,5,Las Palmas,426,26Aug
27,1,0,Las Palmas,426,18Aug
28,3,0,Las Palmas,426,20May
29,1,4,Las Palmas,426,14May
30,3,1,Villarreal,427,14Sep
31,3,1,Villarreal,427,10Sep
32,3,0,Villarreal,427,25Aug
33,1,0,Villarreal,427,21Aug
34,1,3,Villarreal,427,21May
35,5,0,Espanyol de Barcelona,427,09Sep
36,0,1,Espanyol de Barcelona,427,27Aug
37,1,1,Espanyol de Barcelona,427,19Aug
38,1,2,Espanyol de Barcelona,427,19May
39,0,1,Espanyol de Barcelona,427,13May
40,1,0,Celta Vigo,428,10Sep
41,2,1,Celta Vigo,428,25Aug
42,2,3,Celta Vigo,428,19Aug
43,2,2,Celta Vigo,428,21May
44,1,4,Celta Vigo,428,17May
45,1,2,Getafe,428,08Sep
46,0,1,Getafe,428,27Aug
47,0,0,Getafe,428,20Aug
48,1,1,Getafe,428,15Jan
49,0,1,Getafe,428,06Jan
50,1,1,Levante,429,09Sep
51,2,2,Levante,429,26Aug
52,1,0,Levante,429,21Aug
53,0,2,Levante,429,15Jan
54,0,2,Levante,429,11Jan
55,4,0,Real Sociedad,429,14Sep
56,2,4,Real Sociedad,429,10Sep
57,3,0,Real Sociedad,429,25Aug
58,2,3,Real Sociedad,429,19Aug
59,2,2,Real Sociedad,429,21May
60,1,0,Atletico Madrid,430,16Sep
61,1,2,Atletico Madrid,430,12Sep
62,0,0,Atletico Madrid,430,12Sep
63,0,0,Atletico Madrid,430,09Sep
64,1,5,Atletico Madrid,430,26Aug
65,0,1,Sevilla,430,17Sep
66,4,0,Sevilla,430,13Sep
67,2,2,Sevilla,430,13Sep
68,3,0,Sevilla,430,09Sep
69,0,1,Sevilla,430,27Aug
70,0,3,Deportivo Alaves,431,17Sep
71,1,0,Deportivo Alaves,431,10Sep
72,0,2,Deportivo Alaves,431,26Aug
73,1,0,Deportivo Alaves,431,18Aug
74,3,1,Deportivo Alaves,431,27May
75,1,3,Real Madrid,431,17Sep
76,10,0,Real Madrid,431,13Sep
77,3,0,Real Madrid,431,13Sep
78,1,1,Real Madrid,431,09Sep
79,2,2,Real Madrid,431,27Aug
