,home,away,league,game_id,season,temp,weather_desc,date
0,Brighton & Hove Albion,Manchester United,FA_Premier_League,354,2017-2018,5C,Cloudy,04-May-18
1,Stoke City,Crystal Palace,FA_Premier_League,355,2017-2018,9C,Cloudy,05-May-18
2,Bournemouth,Swansea City,FA_Premier_League,356,2017-2018,15C,Sunny,05-May-18
3,Leicester City,West Ham United,FA_Premier_League,357,2017-2018,14C,Cloudy,05-May-18
4,Watford,Newcastle United,FA_Premier_League,358,2017-2018,7C,Cloudy,05-May-18
5,West Bromwich Albion,Tottenham Hotspur,FA_Premier_League,359,2017-2018,9C,Cloudy,05-May-18
6,Everton,Southampton,FA_Premier_League,360,2017-2018,11C,Cloudy,05-May-18
7,Manchester City,Huddersfield Town,FA_Premier_League,361,2017-2018,12C,Clear,06-May-18
8,Arsenal,Burnley,FA_Premier_League,362,2017-2018,24C,Sunny,06-May-18
9,Chelsea,Liverpool,FA_Premier_League,363,2017-2018,9C,Sunny,06-May-18
10,Swansea City,Southampton,FA_Premier_League,364,2017-2018,8C,Cloudy,08-May-18
11,Leicester City,Arsenal,FA_Premier_League,365,2017-2018,8C,Cloudy,09-May-18
12,Chelsea,Huddersfield Town,FA_Premier_League,366,2017-2018,10C,Cloudy,09-May-18
13,Manchester City,Brighton & Hove Albion,FA_Premier_League,367,2017-2018,13C,Cloudy,09-May-18
14,Tottenham Hotspur,Newcastle United,FA_Premier_League,368,2017-2018,9C,Sunny,09-May-18
15,West Ham United,Manchester United,FA_Premier_League,369,2017-2018,11C,Showers,10-May-18
16,Burnley,Bournemouth,FA_Premier_League,370,2017-2018,7C,Cloudy,13-May-18
17,Crystal Palace,West Bromwich Albion,FA_Premier_League,371,2017-2018,8C,Cloudy,13-May-18
18,Huddersfield Town,Arsenal,FA_Premier_League,372,2017-2018,8C,Cloudy,13-May-18
19,Liverpool,Brighton & Hove Albion,FA_Premier_League,373,2017-2018,9C,Cloudy,13-May-18
20,Manchester United,Watford,FA_Premier_League,374,2017-2018,8C,Cloudy,13-May-18
21,Newcastle United,Chelsea,FA_Premier_League,375,2017-2018,9C,Showers,13-May-18
22,Southampton,Manchester City,FA_Premier_League,376,2017-2018,6C,Cloudy,13-May-18
23,Swansea City,Stoke City,FA_Premier_League,377,2017-2018,5C,Cloudy,13-May-18
24,Tottenham Hotspur,Leicester City,FA_Premier_League,378,2017-2018,8C,Cloudy,13-May-18
25,West Ham United,Everton,FA_Premier_League,379,2017-2018,9C,Cloudy,13-May-18
