,goals_for,goals_against,team,game_id,date
0,0,0,Burnley,71,23Sep
1,2,2,Burnley,71,19Sep
2,1,1,Burnley,71,16Sep
3,1,0,Burnley,71,10Sep
4,1,1,Burnley,71,27Aug
5,2,3,West Ham United,71,23Sep
6,3,0,West Ham United,71,19Sep
7,0,0,West Ham United,71,16Sep
8,2,0,West Ham United,71,11Sep
9,3,0,West Ham United,71,26Aug
10,5,0,Crystal Palace,72,23Sep
11,1,0,Crystal Palace,72,19Sep
12,0,1,Crystal Palace,72,16Sep
13,1,0,Crystal Palace,72,10Sep
14,0,2,Crystal Palace,72,26Aug
15,1,3,Chelsea,72,27Sep
16,1,2,Chelsea,72,27Sep
17,0,4,Chelsea,72,23Sep
18,5,1,Chelsea,72,20Sep
19,0,0,Chelsea,72,17Sep
20,3,1,Manchester City,73,26Sep
21,2,0,Manchester City,73,26Sep
22,5,0,Manchester City,73,23Sep
23,1,2,Manchester City,73,20Sep
24,0,6,Manchester City,73,16Sep
25,2,1,Stoke City,73,30Sep
26,0,4,Stoke City,73,23Sep
27,2,0,Stoke City,73,19Sep
28,2,1,Stoke City,73,16Sep
29,2,2,Stoke City,73,09Sep
30,1,0,Swansea City,74,30Sep
31,1,2,Swansea City,74,23Sep
32,0,2,Swansea City,74,19Sep
33,0,0,Swansea City,74,16Sep
34,0,1,Swansea City,74,10Sep
35,0,0,Huddersfield Town,74,23Sep
36,1,0,Huddersfield Town,74,19Sep
37,1,1,Huddersfield Town,74,16Sep
38,2,0,Huddersfield Town,74,11Sep
39,0,0,Huddersfield Town,74,26Aug
40,0,4,Tottenham Hotspur,75,30Sep
41,1,0,Tottenham Hotspur,75,26Sep
42,0,3,Tottenham Hotspur,75,26Sep
43,2,3,Tottenham Hotspur,75,23Sep
44,1,0,Tottenham Hotspur,75,19Sep
45,2,1,Bournemouth,75,23Sep
46,1,0,Bournemouth,75,19Sep
47,2,1,Bournemouth,75,15Sep
48,3,0,Bournemouth,75,09Sep
49,1,2,Bournemouth,75,26Aug
50,1,2,Watford,76,23Sep
51,0,6,Watford,76,16Sep
52,0,2,Watford,76,09Sep
53,0,0,Watford,76,26Aug
54,2,3,Watford,76,22Aug
55,2,4,Arsenal,76,28Sep
56,2,0,Arsenal,76,25Sep
57,1,0,Arsenal,76,20Sep
58,0,0,Arsenal,76,17Sep
59,3,1,Arsenal,76,14Sep
60,2,0,Brighton & Hove Albion,77,01Oct
61,1,0,Brighton & Hove Albion,77,24Sep
62,1,0,Brighton & Hove Albion,77,19Sep
63,2,1,Brighton & Hove Albion,77,15Sep
64,3,1,Brighton & Hove Albion,77,09Sep
65,2,2,Everton,77,28Sep
66,2,1,Everton,77,23Sep
67,3,0,Everton,77,20Sep
68,4,0,Everton,77,17Sep
69,3,0,Everton,77,14Sep
70,2,1,Southampton,78,30Sep
71,0,1,Southampton,78,23Sep
72,0,1,Southampton,78,16Sep
73,0,2,Southampton,78,09Sep
74,,,Southampton,78,29Aug
75,1,1,Newcastle United,78,01Oct
76,1,0,Newcastle United,78,24Sep
77,2,1,Newcastle United,78,16Sep
78,0,1,Newcastle United,78,10Sep
79,,,Newcastle United,78,29Aug
80,0,0,Leicester City,79,30Sep
81,2,3,Leicester City,79,23Sep
82,2,0,Leicester City,79,19Sep
83,1,1,Leicester City,79,16Sep
84,1,2,Leicester City,79,09Sep
85,2,2,West Bromwich Albion,79,30Sep
86,2,0,West Bromwich Albion,79,25Sep
87,1,2,West Bromwich Albion,79,20Sep
88,,,West Bromwich Albion,79,19Sep
89,0,0,West Bromwich Albion,79,16Sep
90,1,0,West Ham United,80,30Sep
91,2,3,West Ham United,80,23Sep
92,3,0,West Ham United,80,19Sep
93,0,0,West Ham United,80,16Sep
94,2,0,West Ham United,80,11Sep
95,,,Brighton & Hove Albion,80,03Oct
96,2,0,Brighton & Hove Albion,80,01Oct
97,1,0,Brighton & Hove Albion,80,24Sep
98,1,0,Brighton & Hove Albion,80,19Sep
99,2,1,Brighton & Hove Albion,80,15Sep
100,3,3,Chelsea,81,18Oct
101,2,1,Chelsea,81,14Oct
102,0,1,Chelsea,81,30Sep
103,1,3,Chelsea,81,27Sep
104,1,2,Chelsea,81,27Sep
105,2,2,Watford,81,30Sep
106,1,2,Watford,81,23Sep
107,0,6,Watford,81,16Sep
108,0,2,Watford,81,09Sep
109,0,0,Watford,81,26Aug
110,0,4,Huddersfield Town,82,30Sep
111,0,0,Huddersfield Town,82,23Sep
112,1,0,Huddersfield Town,82,19Sep
113,1,1,Huddersfield Town,82,16Sep
114,2,0,Huddersfield Town,82,11Sep
115,0,1,Manchester United,82,18Oct
116,0,0,Manchester United,82,14Oct
117,4,0,Manchester United,82,30Sep
118,1,2,Manchester United,82,27Sep
119,1,4,Manchester United,82,27Sep
120,2,1,Manchester City,83,17Oct
121,7,2,Manchester City,83,14Oct
122,0,1,Manchester City,83,30Sep
