,home,away,league,game_id,season,temp,weather_desc,date
0,Burnley,West Ham United,FA_Premier_League,71,2017-2018,15C,Rain,14-Oct-17
1,Crystal Palace,Chelsea,FA_Premier_League,72,2017-2018,16C,Cloudy,14-Oct-17
2,Manchester City,Stoke City,FA_Premier_League,73,2017-2018,17C,Cloudy,14-Oct-17
3,Swansea City,Huddersfield Town,FA_Premier_League,74,2017-2018,15C,Cloudy,14-Oct-17
4,Tottenham Hotspur,Bournemouth,FA_Premier_League,75,2017-2018,16C,Cloudy,14-Oct-17
5,Watford,Arsenal,FA_Premier_League,76,2017-2018,16C,Cloudy,14-Oct-17
6,Brighton & Hove Albion,Everton,FA_Premier_League,77,2017-2018,14C,Clear,15-Oct-17
7,Southampton,Newcastle United,FA_Premier_League,78,2017-2018,14C,Cloudy,15-Oct-17
8,Leicester City,West Bromwich Albion,FA_Premier_League,79,2017-2018,15C,Showers,16-Oct-17
9,West Ham United,Brighton & Hove Albion,FA_Premier_League,80,2017-2018,13C,Cloudy,20-Oct-17
10,Chelsea,Watford,FA_Premier_League,81,2017-2018,13C,Clear,21-Oct-17
11,Huddersfield Town,Manchester United,FA_Premier_League,82,2017-2018,11C,Cloudy,21-Oct-17
12,Manchester City,Burnley,FA_Premier_League,83,2017-2018,12C,Showers,21-Oct-17
13,Newcastle United,Crystal Palace,FA_Premier_League,84,2017-2018,10C,Showers,21-Oct-17
14,Stoke City,Bournemouth,FA_Premier_League,85,2017-2018,11C,Showers,21-Oct-17
15,Swansea City,Leicester City,FA_Premier_League,86,2017-2018,12C,Rain,21-Oct-17
16,Southampton,West Bromwich Albion,FA_Premier_League,87,2017-2018,13C,Showers,21-Oct-17
17,Everton,Arsenal,FA_Premier_League,88,2017-2018,10C,Showers,22-Oct-17
18,Tottenham Hotspur,Liverpool,FA_Premier_League,89,2017-2018,10C,Cloudy,22-Oct-17
19,Manchester United,Tottenham Hotspur,FA_Premier_League,90,2017-2018,9C,Cloudy,28-Oct-17
20,Arsenal,Swansea City,FA_Premier_League,91,2017-2018,6C,Cloudy,28-Oct-17
21,Crystal Palace,West Ham United,FA_Premier_League,92,2017-2018,13C,Cloudy,28-Oct-17
22,Liverpool,Huddersfield Town,FA_Premier_League,93,2017-2018,12C,Cloudy,28-Oct-17
23,Watford,Stoke City,FA_Premier_League,94,2017-2018,5C,Cloudy,28-Oct-17
24,West Bromwich Albion,Manchester City,FA_Premier_League,95,2017-2018,7C,Cloudy,28-Oct-17
25,Bournemouth,Chelsea,FA_Premier_League,96,2017-2018,6C,Clear,28-Oct-17
26,Brighton & Hove Albion,Southampton,FA_Premier_League,97,2017-2018,13C,Cloudy,29-Oct-17
27,Leicester City,Everton,FA_Premier_League,98,2017-2018,12C,Showers,29-Oct-17
28,Burnley,Newcastle United,FA_Premier_League,99,2017-2018,0C,Cloudy,30-Oct-17
