,goals_for,goals_against,team,game_id,date
0,2,3,AS Monaco,0,20May
1,2,0,AS Monaco,0,17May
2,4,0,AS Monaco,0,14May
3,2,1,AS Monaco,0,09May
4,0,3,AS Monaco,0,06May
5,1,1,Toulouse FC,0,14May
6,0,1,Toulouse FC,0,06May
7,3,1,Toulouse FC,0,29Apr
8,1,1,Toulouse FC,0,23Apr
9,2,1,Toulouse FC,0,15Apr
10,2,3,Paris Saint-Germain FC,1,26Jul
11,2,4,Paris Saint-Germain FC,1,22Jul
12,1,1,Paris Saint-Germain FC,1,19Jul
13,1,1,Paris Saint-Germain FC,1,20May
14,0,5,Paris Saint-Germain FC,1,14May
15,3,0,Amiens SCF,1,12May
16,1,2,Amiens SCF,1,05May
17,2,1,Amiens SCF,1,28Apr
18,2,3,Amiens SCF,1,22Apr
19,2,0,Amiens SCF,1,14Apr
20,3,3,Olympique Lyonnais,2,20May
21,1,3,Olympique Lyonnais,2,14May
22,3,1,Olympique Lyonnais,2,11May
23,3,2,Olympique Lyonnais,2,07May
24,4,1,Olympique Lyonnais,2,03May
25,2,2,RC Strasbourg,2,12May
26,1,1,RC Strasbourg,2,08May
27,2,0,RC Strasbourg,2,28Apr
28,1,2,RC Strasbourg,2,21Apr
29,4,2,RC Strasbourg,2,17Apr
30,1,1,FC Metz,3,14May
31,0,2,FC Metz,3,06May
32,2,1,FC Metz,3,29Apr
33,5,1,FC Metz,3,22Apr
34,2,3,FC Metz,3,18Apr
35,4,1,EA Guingamp,3,14May
36,4,0,EA Guingamp,3,06May
37,0,2,EA Guingamp,3,29Apr
38,3,0,EA Guingamp,3,22Apr
39,2,1,EA Guingamp,3,15Apr
40,1,3,Montpellier-HSC,4,14May
41,1,0,Montpellier-HSC,4,07May
42,0,3,Montpellier-HSC,4,29Apr
43,2,0,Montpellier-HSC,4,22Apr
44,2,0,Montpellier-HSC,4,15Apr
45,0,1,Stade Malherbe Caen,4,14May
46,0,1,Stade Malherbe Caen,4,06May
47,1,5,Stade Malherbe Caen,4,30Apr
48,0,2,Stade Malherbe Caen,4,22Apr
49,2,2,Stade Malherbe Caen,4,15Apr
50,2,0,AS Saint-Etienne,5,17May
51,0,5,AS Saint-Etienne,5,14May
52,2,2,AS Saint-Etienne,5,05May
53,0,2,AS Saint-Etienne,5,29Apr
54,1,1,AS Saint-Etienne,5,23Apr
55,1,1,OGC Nice,5,26Jul
56,3,3,OGC Nice,5,20May
57,0,2,OGC Nice,5,14May
58,2,1,OGC Nice,5,07May
59,3,1,OGC Nice,5,30Apr
60,2,1,ES Troyes AC,6,25May
61,2,3,ES Troyes AC,6,19May
62,2,0,ES Troyes AC,6,12May
63,2,3,ES Troyes AC,6,05May
64,1,0,ES Troyes AC,6,29Apr
65,0,1,Stade Rennais FC,6,14May
66,1,0,Stade Rennais FC,6,07May
67,1,0,Stade Rennais FC,6,29Apr
68,1,1,Stade Rennais FC,6,23Apr
69,2,0,Stade Rennais FC,6,15Apr
70,4,0,Lille OSC,7,14May
71,0,2,Lille OSC,7,06May
72,0,3,Lille OSC,7,29Apr
73,3,0,Lille OSC,7,22Apr
74,2,0,Lille OSC,7,15Apr
75,4,1,FC Nantes,7,14May
76,3,2,FC Nantes,7,07May
77,1,0,FC Nantes,7,29Apr
78,0,2,FC Nantes,7,22Apr
79,0,1,FC Nantes,7,16Apr
80,0,2,Angers SCO,8,14May
81,1,1,Angers SCO,8,06May
82,1,2,Angers SCO,8,28Apr
83,3,2,Angers SCO,8,22Apr
84,0,2,Angers SCO,8,14Apr
85,2,1,FC Girondins de Bordeaux,8,27Jul
86,1,1,FC Girondins de Bordeaux,8,20May
87,1,1,FC Girondins de Bordeaux,8,14May
88,2,2,FC Girondins de Bordeaux,8,05May
89,0,0,FC Girondins de Bordeaux,8,30Apr
90,4,2,Olympique de Marseille,9,27Jul
91,1,0,Olympique de Marseille,9,20May
92,1,1,Olympique de Marseille,9,14May
93,2,1,Olympique de Marseille,9,07May
94,1,5,Olympique de Marseille,9,30Apr
95,2,0,Dijon FCO,9,14May
96,4,0,Dijon FCO,9,06May
97,0,0,Dijon FCO,9,30Apr
98,3,2,Dijon FCO,9,22Apr
99,2,1,Dijon FCO,9,15Apr
100,2,2,OGC Nice,10,02Aug
101,1,1,OGC Nice,10,26Jul
102,3,3,OGC Nice,10,20May
103,0,2,OGC Nice,10,14May
104,2,1,OGC Nice,10,07May
105,0,0,ES Troyes AC,10,28May
106,2,1,ES Troyes AC,10,25May
107,2,3,ES Troyes AC,10,19May
108,2,0,ES Troyes AC,10,12May
109,2,3,ES Troyes AC,10,05May
110,2,3,Stade Rennais FC,11,20May
111,0,1,Stade Rennais FC,11,14May
112,1,0,Stade Rennais FC,11,07May
113,1,0,Stade Rennais FC,11,29Apr
114,1,1,Stade Rennais FC,11,23Apr
115,1,0,Olympique Lyonnais,11,24Jul
116,3,3,Olympique Lyonnais,11,20May
117,1,3,Olympique Lyonnais,11,14May
118,3,1,Olympique Lyonnais,11,11May
119,3,2,Olympique Lyonnais,11,07May
120,3,0,FC Nantes,12,20May
121,4,1,FC Nantes,12,14May
122,3,2,FC Nantes,12,07May
123,1,0,FC Nantes,12,29Apr
124,0,2,FC Nantes,12,22Apr
125,0,0,Olympique de Marseille,12,03Aug
126,4,2,Olympique de Marseille,12,27Jul
127,1,0,Olympique de Marseille,12,20May
128,1,1,Olympique de Marseille,12,14May
129,2,1,Olympique de Marseille,12,07May
130,1,2,Amiens SCF,13,19May
131,3,0,Amiens SCF,13,12May
132,1,2,Amiens SCF,13,05May
133,2,1,Amiens SCF,13,28Apr
134,2,3,Amiens SCF,13,22Apr
135,2,0,Angers SCO,13,20May
136,0,2,Angers SCO,13,14May
137,1,1,Angers SCO,13,06May
138,1,2,Angers SCO,13,28Apr
139,3,2,Angers SCO,13,22Apr
140,1,0,FC Girondins de Bordeaux,14,03Aug
141,2,1,FC Girondins de Bordeaux,14,27Jul
142,1,1,FC Girondins de Bordeaux,14,20May
143,1,1,FC Girondins de Bordeaux,14,14May
144,2,2,FC Girondins de Bordeaux,14,05May
145,1,0,FC Metz,14,20May
146,1,1,FC Metz,14,14May
147,0,2,FC Metz,14,06May
148,2,1,FC Metz,14,29Apr
149,5,1,FC Metz,14,22Apr
150,1,1,Stade Malherbe Caen,15,20May
151,0,1,Stade Malherbe Caen,15,14May
152,0,1,Stade Malherbe Caen,15,06May
153,1,5,Stade Malherbe Caen,15,30Apr
154,0,2,Stade Malherbe Caen,15,22Apr
155,3,1,AS Saint-Etienne,15,20May
156,2,0,AS Saint-Etienne,15,17May
157,0,5,AS Saint-Etienne,15,14May
158,2,2,AS Saint-Etienne,15,05May
159,0,2,AS Saint-Etienne,15,29Apr
160,0,0,Toulouse FC,16,20May
161,1,1,Toulouse FC,16,14May
162,0,1,Toulouse FC,16,06May
163,3,1,Toulouse FC,16,29Apr
164,1,1,Toulouse FC,16,23Apr
165,2,0,Montpellier-HSC,16,20May
166,1,3,Montpellier-HSC,16,14May
167,1,0,Montpellier-HSC,16,07May
168,0,3,Montpellier-HSC,16,29Apr
169,2,0,Montpellier-HSC,16,22Apr
170,2,1,RC Strasbourg,17,19May
171,2,2,RC Strasbourg,17,12May
172,1,1,RC Strasbourg,17,08May
173,2,0,RC Strasbourg,17,28Apr
174,1,2,RC Strasbourg,17,21Apr
175,3,0,Lille OSC,17,20May
176,4,0,Lille OSC,17,14May
177,0,2,Lille OSC,17,06May
178,0,3,Lille OSC,17,29Apr
179,3,0,Lille OSC,17,22Apr
180,0,0,Dijon FCO,18,20May
181,2,0,Dijon FCO,18,14May
182,4,0,Dijon FCO,18,06May
183,0,0,Dijon FCO,18,30Apr
184,3,2,Dijon FCO,18,22Apr
185,1,2,AS Monaco,18,29Jul
186,2,3,AS Monaco,18,20May
187,2,0,AS Monaco,18,17May
188,4,0,AS Monaco,18,14May
189,2,1,AS Monaco,18,09May
190,1,0,EA Guingamp,19,20May
191,4,1,EA Guingamp,19,14May
192,4,0,EA Guingamp,19,06May
193,0,2,EA Guingamp,19,29Apr
194,3,0,EA Guingamp,19,22Apr
195,1,2,Paris Saint-Germain FC,19,29Jul
196,2,3,Paris Saint-Germain FC,19,26Jul
197,2,4,Paris Saint-Germain FC,19,22Jul
198,1,1,Paris Saint-Germain FC,19,19Jul
199,1,1,Paris Saint-Germain FC,19,20May
200,1,3,FC Metz,20,05Aug
201,1,0,FC Metz,20,20May
202,1,1,FC Metz,20,14May
203,0,2,FC Metz,20,06May
204,2,1,FC Metz,20,29Apr
205,3,2,AS Monaco,20,04Aug
206,1,2,AS Monaco,20,29Jul
207,2,3,AS Monaco,20,20May
208,2,0,AS Monaco,20,17May
209,4,0,AS Monaco,20,14May
210,4,0,Olympique Lyonnais,21,05Aug
211,1,0,Olympique Lyonnais,21,24Jul
212,3,3,Olympique Lyonnais,21,20May
213,1,3,Olympique Lyonnais,21,14May
214,3,1,Olympique Lyonnais,21,11May
215,2,2,FC Girondins de Bordeaux,21,06Aug
216,1,0,FC Girondins de Bordeaux,21,03Aug
217,2,1,FC Girondins de Bordeaux,21,27Jul
218,1,1,FC Girondins de Bordeaux,21,20May
219,1,1,FC Girondins de Bordeaux,21,14May
220,1,0,Montpellier-HSC,22,05Aug
221,2,0,Montpellier-HSC,22,20May
222,1,3,Montpellier-HSC,22,14May
223,1,0,Montpellier-HSC,22,07May
224,0,3,Montpellier-HSC,22,29Apr
225,4,0,RC Strasbourg,22,05Aug
226,2,1,RC Strasbourg,22,19May
227,2,2,RC Strasbourg,22,12May
228,1,1,RC Strasbourg,22,08May
229,2,0,RC Strasbourg,22,28Apr
230,1,2,OGC Nice,23,11Aug
231,1,0,OGC Nice,23,05Aug
232,2,2,OGC Nice,23,02Aug
233,1,1,OGC Nice,23,26Jul
234,3,3,OGC Nice,23,20May
235,1,3,EA Guingamp,23,05Aug
236,1,0,EA Guingamp,23,20May
237,4,1,EA Guingamp,23,14May
238,4,0,EA Guingamp,23,06May
239,0,2,EA Guingamp,23,29Apr
240,1,1,Stade Rennais FC,24,05Aug
241,2,3,Stade Rennais FC,24,20May
242,0,1,Stade Rennais FC,24,14May
243,1,0,Stade Rennais FC,24,07May
244,1,0,Stade Rennais FC,24,29Apr
245,3,0,Dijon FCO,24,06Aug
246,0,0,Dijon FCO,24,20May
247,2,0,Dijon FCO,24,14May
248,4,0,Dijon FCO,24,06May
249,0,0,Dijon FCO,24,30Apr
250,1,0,AS Saint-Etienne,25,05Aug
251,3,1,AS Saint-Etienne,25,20May
252,2,0,AS Saint-Etienne,25,17May
253,0,5,AS Saint-Etienne,25,14May
254,2,2,AS Saint-Etienne,25,05May
255,2,0,Amiens SCF,25,05Aug
256,1,2,Amiens SCF,25,19May
257,3,0,Amiens SCF,25,12May
258,1,2,Amiens SCF,25,05May
259,2,1,Amiens SCF,25,28Apr
260,1,1,ES Troyes AC,26,05Aug
261,0,0,ES Troyes AC,26,28May
262,2,1,ES Troyes AC,26,25May
263,2,3,ES Troyes AC,26,19May
264,2,0,ES Troyes AC,26,12May
265,3,0,FC Nantes,26,06Aug
266,3,0,FC Nantes,26,20May
267,4,1,FC Nantes,26,14May
268,3,2,FC Nantes,26,07May
269,1,0,FC Nantes,26,29Apr
270,3,0,Lille OSC,27,06Aug
271,3,0,Lille OSC,27,20May
272,4,0,Lille OSC,27,14May
273,0,2,Lille OSC,27,06May
274,0,3,Lille OSC,27,29Apr
