,name,position,team,game_id,player_id
0,Courtois,XX,Chelsea,173,34241
1,Azpilicueta,DF,Chelsea,173,6743
2,Christensen,DF,Chelsea,173,79602
3,Cahill,DF,Chelsea,173,4194
4,Moses,MF,Chelsea,173,19680
5,Kanté,DM,Chelsea,173,73549
6,Bakayoko,DM,Chelsea,173,82228
7,Marcos Alonso,DF,Chelsea,173,46166
8,Willian,FW,Chelsea,173,10229
9,Pedro,FW,Chelsea,173,15486
10,Hazard,FW,Chelsea,173,14903
11,Forster,XX,Southampton,173,13876
12,Stephens,DF,Southampton,173,53396
13,Yoshida,DF,Southampton,173,24453
14,Hoedt,DF,Southampton,173,85663
15,Cédric,DF,Southampton,173,46131
16,Romeu,DM,Southampton,173,40786
17,Højbjerg,MF,Southampton,173,79297
18,Bertrand,DF,Southampton,173,20621
19,Ward-Prowse,MF,Southampton,173,65842
20,Redmond,FW,Southampton,173,52548
21,Gabbiadini,FW,Southampton,173,46030
22,Butland,XX,Stoke City,174,61705
23,Cameron,DF,Stoke City,174,18217
24,Shawcross,DF,Stoke City,174,11889
25,Wimmer,DF,Stoke City,174,58971
26,Pieters,DF,Stoke City,174,2302
27,Shaqiri,FW,Stoke City,174,36861
28,Fletcher,MF,Stoke City,174,54
29,Allen,MF,Stoke City,174,22845
30,Sobhi,MF,Stoke City,174,110401
31,Crouch,FW,Stoke City,174,105
32,Diouf,FW,Stoke City,174,18699
33,Adrián,XX,West Ham United,174,64753
34,Collins,DF,West Ham United,174,971
35,Ogbonna,DF,West Ham United,174,6063
36,Cresswell,DF,West Ham United,174,44073
37,Zabaleta,DF,West Ham United,174,1613
38,Noble,MF,West Ham United,174,4112
39,Obiang,MF,West Ham United,174,53286
40,Masuaku,DF,West Ham United,174,63786
41,Lanzini,AM,West Ham United,174,50921
42,Antonio,MF,West Ham United,174,40028
43,Arnautovic,FW,West Ham United,174,7579
44,Heurelho Gomes,XX,Watford,175,1118
45,Mariappa,DF,Watford,175,1887
46,Prödl,DF,Watford,175,13359
47,Kabasele,DF,Watford,175,50762
48,Janmaat,DF,Watford,175,27779
49,Capoue,DM,Watford,175,15006
50,Doucoure,MF,Watford,175,75703
51,Holebas,DF,Watford,175,13199
52,Carrillo,FW,Watford,175,55420
53,Richarlison,FW,Watford,175,108947
54,Deeney,FW,Watford,175,27585
55,Lössl,XX,Huddersfield Town,175,19553
56,Hadergjonaj,DF,Huddersfield Town,175,84003
57,Zanka,DF,Huddersfield Town,175,10741
