,goals_for,goals_against,team,game_id,date
0,1,0,Chelsea,173,09Dec
1,0,4,Chelsea,173,06Dec
2,4,2,Chelsea,173,05Dec
3,1,1,Chelsea,173,05Dec
4,3,1,Chelsea,173,02Dec
5,1,1,Southampton,173,10Dec
6,1,1,Southampton,173,03Dec
7,2,1,Southampton,173,29Nov
8,4,1,Southampton,173,26Nov
9,3,0,Southampton,173,18Nov
10,5,1,Stoke City,174,09Dec
11,2,1,Stoke City,174,02Dec
12,0,3,Stoke City,174,29Nov
13,2,1,Stoke City,174,25Nov
14,2,2,Stoke City,174,20Nov
15,1,0,West Ham United,174,09Dec
16,4,0,West Ham United,174,05Dec
17,2,1,West Ham United,174,03Dec
18,4,0,West Ham United,174,29Nov
19,,,West Ham United,174,28Nov
20,1,0,Watford,175,09Dec
21,1,1,Watford,175,02Dec
22,2,4,Watford,175,28Nov
23,0,3,Watford,175,25Nov
24,2,0,Watford,175,19Nov
25,2,0,Huddersfield Town,175,09Dec
26,2,0,Huddersfield Town,175,02Dec
27,5,0,Huddersfield Town,175,29Nov
28,1,2,Huddersfield Town,175,26Nov
29,4,0,Huddersfield Town,175,18Nov
30,1,2,Manchester City,176,10Dec
31,2,1,Manchester City,176,06Dec
32,2,1,Manchester City,176,06Dec
33,2,1,Manchester City,176,03Dec
34,,,Manchester City,176,29Nov
35,5,1,Tottenham Hotspur,176,09Dec
36,4,1,Tottenham Hotspur,176,06Dec
37,3,0,Tottenham Hotspur,176,06Dec
38,1,1,Tottenham Hotspur,176,02Dec
39,2,1,Tottenham Hotspur,176,28Nov
40,1,0,West Bromwich Albion,177,09Dec
41,0,0,West Bromwich Albion,177,02Dec
42,2,2,West Bromwich Albion,177,28Nov
43,1,1,West Bromwich Albion,177,25Nov
44,0,4,West Bromwich Albion,177,18Nov
45,1,2,Manchester United,177,10Dec
46,1,0,Manchester United,177,05Dec
47,2,1,Manchester United,177,05Dec
48,1,3,Manchester United,177,02Dec
49,2,4,Manchester United,177,28Nov
50,2,2,Bournemouth,178,09Dec
51,1,1,Bournemouth,178,03Dec
52,1,2,Bournemouth,178,29Nov
53,0,0,Bournemouth,178,25Nov
54,4,0,Bournemouth,178,18Nov
55,1,1,Liverpool,178,10Dec
56,2,0,Liverpool,178,06Dec
57,7,0,Liverpool,178,06Dec
58,1,5,Liverpool,178,02Dec
59,0,3,Liverpool,178,29Nov
60,1,1,Everton,179,10Dec
61,0,3,Everton,179,07Dec
62,2,0,Everton,179,02Dec
63,4,0,Everton,179,29Nov
64,4,1,Everton,179,26Nov
65,1,0,Swansea City,179,09Dec
66,2,3,Swansea City,179,05Dec
67,2,1,Swansea City,179,02Dec
68,1,0,Swansea City,179,29Nov
69,0,0,Swansea City,179,25Nov
70,1,0,Arsenal,180,16Dec
71,0,0,Arsenal,180,13Dec
72,1,1,Arsenal,180,10Dec
73,6,0,Arsenal,180,07Dec
74,1,3,Arsenal,180,02Dec
75,0,0,Liverpool,180,13Dec
76,1,1,Liverpool,180,10Dec
77,2,0,Liverpool,180,06Dec
78,7,0,Liverpool,180,06Dec
79,1,5,Liverpool,180,02Dec
80,0,1,Everton,181,13Dec
81,1,1,Everton,181,10Dec
82,0,3,Everton,181,07Dec
83,2,0,Everton,181,02Dec
84,4,0,Everton,181,29Nov
85,1,0,Chelsea,181,16Dec
86,1,3,Chelsea,181,12Dec
87,1,0,Chelsea,181,09Dec
88,0,4,Chelsea,181,06Dec
89,4,2,Chelsea,181,05Dec
90,2,0,Brighton & Hove Albion,182,13Dec
91,2,0,Brighton & Hove Albion,182,09Dec
92,1,5,Brighton & Hove Albion,182,02Dec
93,0,0,Brighton & Hove Albion,182,28Nov
94,1,0,Brighton & Hove Albion,182,25Nov
95,2,1,Watford,182,12Dec
96,1,0,Watford,182,09Dec
97,1,1,Watford,182,02Dec
98,2,4,Watford,182,28Nov
99,0,3,Watford,182,25Nov
100,4,1,Manchester City,183,16Dec
101,0,4,Manchester City,183,13Dec
102,1,2,Manchester City,183,10Dec
103,2,1,Manchester City,183,06Dec
104,2,1,Manchester City,183,06Dec
105,0,4,Bournemouth,183,17Dec
106,1,0,Bournemouth,183,13Dec
107,2,2,Bournemouth,183,09Dec
108,1,1,Bournemouth,183,03Dec
109,1,2,Bournemouth,183,29Nov
110,1,4,Southampton,184,13Dec
111,1,1,Southampton,184,10Dec
112,1,1,Southampton,184,03Dec
113,2,1,Southampton,184,29Nov
114,4,1,Southampton,184,26Nov
115,1,3,Huddersfield Town,184,12Dec
116,2,0,Huddersfield Town,184,09Dec
117,2,0,Huddersfield Town,184,02Dec
118,5,0,Huddersfield Town,184,29Nov
119,1,2,Huddersfield Town,184,26Nov
120,1,0,Stoke City,185,12Dec
121,5,1,Stoke City,185,09Dec
122,2,1,Stoke City,185,02Dec
123,0,3,Stoke City,185,29Nov
124,2,1,Stoke City,185,25Nov
125,0,0,West Bromwich Albion,185,13Dec
126,1,0,West Bromwich Albion,185,09Dec
127,0,0,West Bromwich Albion,185,02Dec
128,2,2,West Bromwich Albion,185,28Nov
129,1,1,West Bromwich Albion,185,25Nov
130,0,4,Swansea City,186,13Dec
131,1,0,Swansea City,186,09Dec
132,2,3,Swansea City,186,05Dec
133,2,1,Swansea City,186,02Dec
134,1,0,Swansea City,186,29Nov
135,2,1,Crystal Palace,186,12Dec
136,2,2,Crystal Palace,186,09Dec
137,0,0,Crystal Palace,186,02Dec
138,0,0,Crystal Palace,186,28Nov
139,2,1,Crystal Palace,186,25Nov
140,0,3,West Ham United,187,16Dec
141,0,0,West Ham United,187,13Dec
142,1,0,West Ham United,187,09Dec
143,4,0,West Ham United,187,05Dec
144,2,1,West Ham United,187,03Dec
145,0,1,Newcastle United,187,13Dec
146,2,3,Newcastle United,187,09Dec
147,3,1,Newcastle United,187,02Dec
148,2,2,Newcastle United,187,28Nov
149,0,3,Newcastle United,187,25Nov
150,1,0,Burnley,188,12Dec
151,1,0,Burnley,188,09Dec
152,1,0,Burnley,188,02Dec
153,1,2,Burnley,188,29Nov
154,0,1,Burnley,188,26Nov
155,2,0,Tottenham Hotspur,188,13Dec
156,5,1,Tottenham Hotspur,188,09Dec
157,4,1,Tottenham Hotspur,188,06Dec
158,3,0,Tottenham Hotspur,188,06Dec
159,1,1,Tottenham Hotspur,188,02Dec
160,0,3,Leicester City,189,16Dec
161,1,4,Leicester City,189,13Dec
162,2,3,Leicester City,189,09Dec
163,1,2,Leicester City,189,05Dec
164,1,0,Leicester City,189,02Dec
165,1,2,Manchester United,189,17Dec
166,1,0,Manchester United,189,13Dec
167,1,2,Manchester United,189,10Dec
168,1,0,Manchester United,189,05Dec
169,2,1,Manchester United,189,05Dec
170,4,1,Tottenham Hotspur,190,16Dec
