,home,away,league,game_id,season,temp,weather_desc,date
0,AS Monaco,Toulouse FC,Ligue_1,0,2017-2018,21C,Cloudy,04-Aug-17
1,Paris Saint-Germain FC,Amiens SCF,Ligue_1,1,2017-2018,16C,Showers,05-Aug-17
2,Olympique Lyonnais,RC Strasbourg,Ligue_1,2,2017-2018,20C,Sunny,05-Aug-17
3,FC Metz,EA Guingamp,Ligue_1,3,2017-2018,18C,Showers,05-Aug-17
4,Montpellier-HSC,Stade Malherbe Caen,Ligue_1,4,2017-2018,38C,Cloudy,05-Aug-17
5,AS Saint-Etienne,OGC Nice,Ligue_1,5,2017-2018,15C,Clear,05-Aug-17
6,ES Troyes AC,Stade Rennais FC,Ligue_1,6,2017-2018,21C,Showers,05-Aug-17
7,Lille OSC,FC Nantes,Ligue_1,7,2017-2018,10C,Clear,06-Aug-17
8,Angers SCO,FC Girondins de Bordeaux,Ligue_1,8,2017-2018,11C,Cloudy,06-Aug-17
9,Olympique de Marseille,Dijon FCO,Ligue_1,9,2017-2018,26C,Cloudy,06-Aug-17
10,OGC Nice,ES Troyes AC,Ligue_1,10,2017-2018,20C,Clear,11-Aug-17
11,Stade Rennais FC,Olympique Lyonnais,Ligue_1,11,2017-2018,11C,Clear,11-Aug-17
12,FC Nantes,Olympique de Marseille,Ligue_1,12,2017-2018,16C,Cloudy,12-Aug-17
13,Amiens SCF,Angers SCO,Ligue_1,13,2017-2018,14C,Showers,12-Aug-17
14,FC Girondins de Bordeaux,FC Metz,Ligue_1,14,2017-2018,13C,Cloudy,12-Aug-17
15,Stade Malherbe Caen,AS Saint-Etienne,Ligue_1,15,2017-2018,16C,Showers,12-Aug-17
16,Toulouse FC,Montpellier-HSC,Ligue_1,16,2017-2018,13C,Clear,12-Aug-17
17,RC Strasbourg,Lille OSC,Ligue_1,17,2017-2018,16C,Cloudy,13-Aug-17
18,Dijon FCO,AS Monaco,Ligue_1,18,2017-2018,16C,Cloudy,13-Aug-17
19,EA Guingamp,Paris Saint-Germain FC,Ligue_1,19,2017-2018,14C,Cloudy,13-Aug-17
20,FC Metz,AS Monaco,Ligue_1,20,2017-2018,18C,Showers,18-Aug-17
21,Olympique Lyonnais,FC Girondins de Bordeaux,Ligue_1,21,2017-2018,17C,Sunny,19-Aug-17
22,Montpellier-HSC,RC Strasbourg,Ligue_1,22,2017-2018,21C,Cloudy,19-Aug-17
23,OGC Nice,EA Guingamp,Ligue_1,23,2017-2018,25C,Cloudy,19-Aug-17
24,Stade Rennais FC,Dijon FCO,Ligue_1,24,2017-2018,11C,Clear,19-Aug-17
25,AS Saint-Etienne,Amiens SCF,Ligue_1,25,2017-2018,14C,Cloudy,19-Aug-17
26,ES Troyes AC,FC Nantes,Ligue_1,26,2017-2018,14C,Cloudy,19-Aug-17
27,Lille OSC,Stade Malherbe Caen,Ligue_1,27,2017-2018,11C,Clear,20-Aug-17
28,Olympique de Marseille,Angers SCO,Ligue_1,28,2017-2018,31C,Cloudy,20-Aug-17
29,Paris Saint-Germain FC,Toulouse FC,Ligue_1,29,2017-2018,11C,Sunny,20-Aug-17
30,Paris Saint-Germain FC,AS Saint-Etienne,Ligue_1,30,2017-2018,18C,Showers,25-Aug-17
31,FC Nantes,Olympique Lyonnais,Ligue_1,31,2017-2018,14C,Cloudy,26-Aug-17
32,Amiens SCF,OGC Nice,Ligue_1,32,2017-2018,25C,Cloudy,26-Aug-17
33,FC Girondins de Bordeaux,ES Troyes AC,Ligue_1,33,2017-2018,19C,Cloudy,26-Aug-17
34,Stade Malherbe Caen,FC Metz,Ligue_1,34,2017-2018,15C,Cloudy,26-Aug-17
35,Dijon FCO,Montpellier-HSC,Ligue_1,35,2017-2018,16C,Clear,26-Aug-17
36,Toulouse FC,Stade Rennais FC,Ligue_1,36,2017-2018,23C,Cloudy,26-Aug-17
37,EA Guingamp,RC Strasbourg,Ligue_1,37,2017-2018,22C,Sunny,27-Aug-17
38,Angers SCO,Lille OSC,Ligue_1,38,2017-2018,31C,Sunny,27-Aug-17
39,AS Monaco,Olympique de Marseille,Ligue_1,39,2017-2018,20C,Clear,27-Aug-17
40,Lille OSC,FC Girondins de Bordeaux,Ligue_1,40,2017-2018,16C,Showers,08-Sep-17
41,FC Metz,Paris Saint-Germain FC,Ligue_1,41,2017-2018,18C,Cloudy,08-Sep-17
42,OGC Nice,AS Monaco,Ligue_1,42,2017-2018,17C,Cloudy,09-Sep-17
43,Stade Malherbe Caen,Dijon FCO,Ligue_1,43,2017-2018,15C,Showers,09-Sep-17
44,Montpellier-HSC,FC Nantes,Ligue_1,44,2017-2018,19C,Cloudy,09-Sep-17
45,RC Strasbourg,Amiens SCF,Ligue_1,45,2017-2018,15C,Showers,09-Sep-17
