,goals_for,goals_against,team,game_id,date
0,0,2,Leicester City,131,18Nov
1,2,2,Leicester City,131,07Nov
2,2,2,Leicester City,131,04Nov
3,2,0,Leicester City,131,29Oct
4,3,1,Leicester City,131,24Oct
5,1,3,Tottenham Hotspur,131,21Nov
6,1,2,Tottenham Hotspur,131,21Nov
7,2,0,Tottenham Hotspur,131,18Nov
8,1,0,Tottenham Hotspur,131,05Nov
9,3,2,Tottenham Hotspur,131,01Nov
10,2,0,Watford,132,19Nov
11,3,2,Watford,132,05Nov
12,0,1,Watford,132,28Oct
13,4,2,Watford,132,21Oct
14,2,1,Watford,132,14Oct
15,2,1,Manchester United,132,22Nov
16,1,0,Manchester United,132,22Nov
17,4,1,Manchester United,132,18Nov
18,1,0,Manchester United,132,05Nov
19,1,1,Manchester United,132,31Oct
20,0,4,West Bromwich Albion,133,18Nov
21,,,West Bromwich Albion,133,07Nov
22,1,0,West Bromwich Albion,133,04Nov
23,2,3,West Bromwich Albion,133,28Oct
24,1,0,West Bromwich Albion,133,21Oct
25,4,1,Newcastle United,133,18Nov
26,,,Newcastle United,133,07Nov
27,0,1,Newcastle United,133,04Nov
28,1,0,Newcastle United,133,30Oct
29,1,0,Newcastle United,133,21Oct
30,1,0,Arsenal,134,23Nov
31,2,0,Arsenal,134,18Nov
32,3,1,Arsenal,134,05Nov
33,0,0,Arsenal,134,02Nov
34,2,1,Arsenal,134,28Oct
35,4,0,Huddersfield Town,134,18Nov
36,1,0,Huddersfield Town,134,04Nov
37,3,0,Huddersfield Town,134,28Oct
38,2,1,Huddersfield Town,134,21Oct
39,2,0,Huddersfield Town,134,14Oct
40,4,0,Bournemouth,135,18Nov
41,0,1,Bournemouth,135,04Nov
42,0,1,Bournemouth,135,28Oct
43,3,1,Bournemouth,135,24Oct
44,1,2,Bournemouth,135,21Oct
45,2,0,Burnley,135,18Nov
46,0,1,Burnley,135,04Nov
47,1,0,Burnley,135,30Oct
48,3,0,Burnley,135,21Oct
49,1,1,Burnley,135,14Oct
50,1,1,Chelsea,136,25Nov
51,1,3,Chelsea,136,22Nov
52,0,4,Chelsea,136,22Nov
53,0,4,Chelsea,136,18Nov
54,1,0,Chelsea,136,05Nov
55,2,0,Swansea City,136,18Nov
56,0,1,Swansea City,136,04Nov
57,,,Swansea City,136,31Oct
58,2,1,Swansea City,136,28Oct
59,0,2,Swansea City,136,24Oct
60,1,5,Everton,137,23Nov
61,2,2,Everton,137,18Nov
62,3,2,Everton,137,05Nov
63,3,0,Everton,137,02Nov
64,,,Everton,137,31Oct
65,1,1,West Ham United,137,24Nov
66,2,0,West Ham United,137,19Nov
67,1,4,West Ham United,137,04Nov
68,2,2,West Ham United,137,28Oct
69,2,3,West Ham United,137,25Oct
70,0,0,Manchester City,138,21Nov
71,1,0,Manchester City,138,21Nov
72,0,2,Manchester City,138,18Nov
73,3,1,Manchester City,138,05Nov
74,3,5,Manchester City,138,01Nov
75,3,0,Southampton,138,18Nov
76,,,Southampton,138,07Nov
77,0,1,Southampton,138,04Nov
78,1,1,Southampton,138,29Oct
79,1,0,Southampton,138,21Oct
80,2,2,Stoke City,139,20Nov
81,,,Stoke City,139,07Nov
82,2,2,Stoke City,139,04Nov
83,0,1,Stoke City,139,28Oct
