,name,position,team,game_id,player_id
0,Pantilimon,XX,Deportivo La Coruña,424,19988
1,Juanfran,DF,Deportivo La Coruña,424,18308
2,Arribas,DF,Deportivo La Coruña,424,46194
3,Schär,DF,Deportivo La Coruña,424,71301
4,Luisinho,DF,Deportivo La Coruña,424,61294
5,Cartabia,FW,Deportivo La Coruña,424,76902
6,Borges,MF,Deportivo La Coruña,424,14752
7,Guilherme,DM,Deportivo La Coruña,424,71629
8,Valverde,MF,Deportivo La Coruña,424,108695
9,Lucas,FW,Deportivo La Coruña,424,56533
10,Andone,FW,Deportivo La Coruña,424,97074
11,Pacheco,XX,Deportivo Alaves,424,55468
12,Carlos Vigaray,DF,Deportivo Alaves,424,86900
13,Rodrigo Ely,DF,Deportivo Alaves,424,55534
14,Maripán,DF,Deportivo Alaves,424,75815
15,Rubén Duarte,DF,Deportivo Alaves,424,98721
16,Torres,MF,Deportivo Alaves,424,59207
17,Manu Alejandro,DM,Deportivo Alaves,424,46058
18,Burgui,FW,Deportivo Alaves,424,80087
19,Medrán,MF,Deportivo Alaves,424,87970
20,Ibai Gomez,FW,Deportivo Alaves,424,53691
21,Munir,FW,Deportivo Alaves,424,88107
22,Navas,XX,Real Madrid,425,14748
23,Carvajal,DF,Real Madrid,425,71968
24,Varane,DF,Real Madrid,425,53951
25,Ramos,DF,Real Madrid,425,40
26,Marcelo,DF,Real Madrid,425,5676
27,Modrić,MF,Real Madrid,425,7928
28,Casemiro,DM,Real Madrid,425,50707
29,Kroos,MF,Real Madrid,425,11106
30,Isco,AM,Real Madrid,425,54348
31,Bale,FW,Real Madrid,425,7738
32,Cristiano Ronaldo,FW,Real Madrid,425,61
33,Adán,XX,Real Betis,425,10696
34,Barragan,DF,Real Betis,425,887
35,Mandi,DF,Real Betis,425,50895
36,Feddal,DF,Real Betis,425,68000
37,Durmisi,DF,Real Betis,425,73750
38,Javi García,DM,Real Betis,425,6660
39,Francis Guerrero,DF,Real Betis,425,120687
40,Fabián,MF,Real Betis,425,97233
41,Víctor Camarasa,DM,Real Betis,425,85739
42,Tello,FW,Real Betis,425,55099
43,Sanabria,FW,Real Betis,425,80435
44,Sergio Rico,XX,Sevilla,426,66739
45,Mercado,DF,Sevilla,426,6632
46,Pareja,DF,Sevilla,426,7822
47,Kjær,DF,Sevilla,426,6191
48,Escudero,DF,Sevilla,426,44300
49,Nzonzi,DM,Sevilla,426,21056
50,Jesus Navas,MF,Sevilla,426,945
51,Krohn-Dehli,MF,Sevilla,426,3136
52,Ganso,AM,Sevilla,426,21308
53,Correa,FW,Sevilla,426,70632
54,Ben Yedder,FW,Sevilla,426,51218
55,Chichizola,XX,Las Palmas,426,31631
56,Michel,DF,Las Palmas,426,28068
57,David García,DF,Las Palmas,426,44259
58,Aythami,DF,Las Palmas,426,13920
59,Ximo,DF,Las Palmas,426,58389
60,Hernan Santana,DM,Las Palmas,426,56531
61,Aquilani,MF,Las Palmas,426,1046
62,Tana,AM,Las Palmas,426,71331
63,Viera,FW,Las Palmas,426,54964
64,Vitolo,FW,Las Palmas,426,54968
65,Calleri,FW,Las Palmas,426,81607
66,Barbosa,XX,Villarreal,427,931
67,Mario Gaspar,DF,Villarreal,427,33429
68,Álvaro,DF,Villarreal,427,58069
69,Victor Ruiz,DF,Villarreal,427,43471
70,Jaume Costa,DF,Villarreal,427,31174
71,Castillejo,MF,Villarreal,427,93805
72,Rodri Hernández,DM,Villarreal,427,107413
73,Trigueros,MF,Villarreal,427,66287
74,Cheryshev,FW,Villarreal,427,59789
75,Bakambu,FW,Villarreal,427,51189
76,Bacca,FW,Villarreal,427,58685
77,Pau López,XX,Espanyol de Barcelona,427,89155
78,Víctor Sánchez,DM,Espanyol de Barcelona,427,18032
79,David López,DM,Espanyol de Barcelona,427,53597
80,Hermoso,DF,Espanyol de Barcelona,427,104244
81,Aaron Martín,DF,Espanyol de Barcelona,427,111430
82,Léo Baptistão,FW,Espanyol de Barcelona,427,74210
83,Sergi Darder,MF,Espanyol de Barcelona,427,82232
84,Javi Fuego,DM,Espanyol de Barcelona,427,13047
85,Piatti,MF,Espanyol de Barcelona,427,5540
86,Jurado,FW,Espanyol de Barcelona,427,871
87,Gerard,FW,Espanyol de Barcelona,427,70446
88,Sergio Álvarez,XX,Celta Vigo,428,46101
89,Hugo Mallo,DF,Celta Vigo,428,44189
90,Sergi Gómez,DF,Celta Vigo,428,51869
91,Fontàs,DF,Celta Vigo,428,39247
92,Jonny,DF,Celta Vigo,428,74626
93,Brais Méndez,AM,Celta Vigo,428,120774
94,Hernández,MF,Celta Vigo,428,49410
95,Jozabed,MF,Celta Vigo,428,77924
96,Iago Aspas,FW,Celta Vigo,428,44188
