,name,position,team,game_id,player_id
0,Cech,XX,Arsenal,0,114
1,Holding,DF,Arsenal,0,100392
2,Monreal,DF,Arsenal,0,2892
3,Kolašinac,DF,Arsenal,0,67934
4,Bellerín,DF,Arsenal,0,71533
5,El Nenny,DM,Arsenal,0,72708
6,Xhaka,DM,Arsenal,0,49774
7,Oxlade Chamberlain,MF,Arsenal,0,46038
8,Özil,AM,Arsenal,0,2070
9,Welbeck,FW,Arsenal,0,26294
10,Lacazette,FW,Arsenal,0,46410
11,Schmeichel,XX,Leicester City,0,6670
12,Simpson,DF,Leicester City,0,7776
13,Morgan,DF,Leicester City,0,25714
14,Maguire,DF,Leicester City,0,57627
15,Fuchs,DF,Leicester City,0,13361
16,James,MF,Leicester City,0,40889
17,Ndidi,DM,Leicester City,0,80418
18,Mahrez,FW,Leicester City,0,73506
19,Okazaki,FW,Leicester City,0,24460
20,Albrighton,MF,Leicester City,0,32680
21,Vardy,FW,Leicester City,0,63664
22,Heurelho Gomes,XX,Watford,1,1118
23,Janmaat,DF,Watford,1,27779
24,Kaboul,DF,Watford,1,2832
25,Britos,DF,Watford,1,16383
26,Holebas,DF,Watford,1,13199
27,Cleverley,MF,Watford,1,39422
28,Doucoure,MF,Watford,1,75703
29,Chalobah,DM,Watford,1,53522
30,Amrabat,FW,Watford,1,12383
31,Okaka Chuka,FW,Watford,1,1255
32,Pereyra,AM,Watford,1,34826
33,Mignolet,XX,Liverpool,1,14326
34,Arnold,DF,Liverpool,1,110457
35,Matip,DF,Liverpool,1,42117
36,Lovren,DF,Liverpool,1,24024
37,Alberto,DF,Liverpool,1,69609
38,Can,DM,Liverpool,1,67096
39,Henderson,MF,Liverpool,1,30627
40,Wijnaldum,MF,Liverpool,1,7404
41,Salah,FW,Liverpool,1,71707
42,Roberto Firmino,FW,Liverpool,1,54804
43,Mané,FW,Liverpool,1,72713
44,Courtois,XX,Chelsea,2,34241
45,Rüdiger,DF,Chelsea,2,61115
46,David Luiz,DF,Chelsea,2,6659
47,Cahill,DF,Chelsea,2,4194
48,Azpilicueta,DF,Chelsea,2,6743
49,Fàbregas,AM,Chelsea,2,239
50,Kanté,DM,Chelsea,2,73549
51,Marcos Alonso,DF,Chelsea,2,46166
52,Willian,FW,Chelsea,2,10229
53,Boga,AM,Chelsea,2,97296
54,Batshuayi,FW,Chelsea,2,60973
55,Heaton,XX,Burnley,2,6631
56,Lowton,DF,Burnley,2,42552
57,Tarkowski,DF,Burnley,2,55365
58,Mee,DF,Burnley,2,40793
59,Ward,DF,Burnley,2,8614
60,Guðmundsson,FW,Burnley,2,49182
61,Defour,MF,Burnley,2,9295
62,Cork,DM,Burnley,2,12857
63,Brady,MF,Burnley,2,53118
64,Hendrick,MF,Burnley,2,47298
65,Vokes,FW,Burnley,2,22853
66,Hennessey,XX,Crystal Palace,3,8611
67,Fosu-Mensah,DF,Crystal Palace,3,105224
68,Dann,DF,Crystal Palace,3,25680
69,Riedewald,DF,Crystal Palace,3,85718
70,Ward,DF,Crystal Palace,3,27074
71,Milivojević,DM,Crystal Palace,3,61174
72,Puncheon,MF,Crystal Palace,3,25843
73,van Aanholt,DF,Crystal Palace,3,39798
74,Loftus-Cheek,MF,Crystal Palace,3,97151
75,Zaha,FW,Crystal Palace,3,48792
76,Benteke,FW,Crystal Palace,3,16811
77,Lössl,XX,Huddersfield Town,3,19553
78,Smith,DF,Huddersfield Town,3,82894
79,Zanka,DF,Huddersfield Town,3,10741
80,Schindler,DF,Huddersfield Town,3,53718
81,Löwe,DF,Huddersfield Town,3,51480
82,Mooy,MF,Huddersfield Town,3,41166
83,Billing,MF,Huddersfield Town,3,89172
84,Kachunga,FW,Huddersfield Town,3,51868
85,Palmer,AM,Huddersfield Town,3,97300
86,Ince,MF,Huddersfield Town,3,50793
87,Mounié,FW,Huddersfield Town,3,82272
88,Pickford,XX,Everton,4,67696
89,Keane,DF,Everton,4,64551
90,Williams,DF,Everton,4,25653
91,Jagielka,DF,Everton,4,1809
92,Calvert-Lewin,FW,Everton,4,100563
93,Schneiderlin,DM,Everton,4,11225
94,Gueye,DM,Everton,4,44582
95,Baines,DF,Everton,4,1819
96,Rooney,FW,Everton,4,57
97,Klaassen,AM,Everton,4,66355
98,Sandro Ramirez,FW,Everton,4,82288
99,Butland,XX,Stoke City,4,61705
100,Zouma,DF,Stoke City,4,62935
101,Shawcross,DF,Stoke City,4,11889
102,Cameron,DF,Stoke City,4,18217
103,Diouf,FW,Stoke City,4,18699
104,Allen,MF,Stoke City,4,22845
105,Fletcher,MF,Stoke City,4,54
106,Pieters,DF,Stoke City,4,2302
107,Shaqiri,FW,Stoke City,4,36861
108,Bojan K,AM,Stoke City,4,11924
109,Berahino,FW,Stoke City,4,54698
110,Forster,XX,Southampton,5,13876
111,Cédric,DF,Southampton,5,46131
112,Stephens,DF,Southampton,5,53396
113,Yoshida,DF,Southampton,5,24453
114,Bertrand,DF,Southampton,5,20621
115,Romeu,DM,Southampton,5,40786
116,Davis,MF,Southampton,5,791
117,Ward-Prowse,MF,Southampton,5,65842
118,Tadic,FW,Southampton,5,25134
119,Redmond,FW,Southampton,5,52548
120,Gabbiadini,FW,Southampton,5,46030
121,Fabiański,XX,Swansea City,5,347
122,Naughton,DF,Swansea City,5,16232
123,Fernández,DF,Swansea City,5,26953
124,Mawson,DF,Swansea City,5,82782
125,Olsson,DF,Swansea City,5,11655
126,Fer,MF,Swansea City,5,15022
127,Britton,DM,Swansea City,5,25656
128,Carroll,MF,Swansea City,5,55735
129,Routledge,MF,Swansea City,5,586
130,Ayew,FW,Swansea City,5,43399
131,Abraham,FW,Swansea City,5,97303
132,Foster,XX,West Bromwich Albion,6,1885
133,Nyom,DF,West Bromwich Albion,6,53041
134,Dawson,DF,West Bromwich Albion,6,47245
135,Hegazy,DF,West Bromwich Albion,6,40854
136,Brunt,MF,West Bromwich Albion,6,9064
137,Yacob,DM,West Bromwich Albion,6,5781
138,Phillips,FW,West Bromwich Albion,6,28838
139,Livermore,DM,West Bromwich Albion,6,40010
140,Field,MF,West Bromwich Albion,6,108812
141,McClean,MF,West Bromwich Albion,6,48962
142,Rodriguez,FW,West Bromwich Albion,6,25205
143,Begović,XX,Bournemouth,6,21972
