,goals_for,goals_against,team,game_id,date
0,1,2,Stoke City,100,21Oct
1,7,2,Stoke City,100,14Oct
2,,,Stoke City,100,03Oct
3,2,1,Stoke City,100,30Sep
4,0,4,Stoke City,100,23Sep
5,3,1,Leicester City,100,24Oct
6,1,2,Leicester City,100,21Oct
7,1,1,Leicester City,100,16Oct
8,0,1,Leicester City,100,03Oct
9,0,0,Leicester City,100,30Sep
10,2,1,Huddersfield Town,101,21Oct
11,2,0,Huddersfield Town,101,14Oct
12,0,4,Huddersfield Town,101,30Sep
13,0,0,Huddersfield Town,101,23Sep
14,1,0,Huddersfield Town,101,19Sep
15,1,0,West Bromwich Albion,101,21Oct
16,1,1,West Bromwich Albion,101,16Oct
17,,,West Bromwich Albion,101,03Oct
18,2,2,West Bromwich Albion,101,30Sep
19,2,0,West Bromwich Albion,101,25Sep
20,1,0,Newcastle United,102,21Oct
21,2,2,Newcastle United,102,15Oct
22,,,Newcastle United,102,03Oct
23,1,1,Newcastle United,102,01Oct
24,1,0,Newcastle United,102,24Sep
25,3,1,Bournemouth,102,24Oct
26,1,2,Bournemouth,102,21Oct
27,1,0,Bournemouth,102,14Oct
28,0,0,Bournemouth,102,30Sep
29,2,1,Bournemouth,102,23Sep
30,1,0,Southampton,103,21Oct
31,2,2,Southampton,103,15Oct
32,,,Southampton,103,03Oct
33,2,1,Southampton,103,30Sep
34,0,1,Southampton,103,23Sep
35,3,0,Burnley,103,21Oct
36,1,1,Burnley,103,14Oct
37,0,1,Burnley,103,01Oct
38,0,0,Burnley,103,23Sep
39,2,2,Burnley,103,19Sep
40,2,1,Swansea City,104,28Oct
41,0,2,Swansea City,104,24Oct
42,1,2,Swansea City,104,21Oct
43,2,0,Swansea City,104,14Oct
44,1,2,Swansea City,104,10Oct
45,0,3,Brighton & Hove Albion,104,20Oct
46,1,1,Brighton & Hove Albion,104,15Oct
47,,,Brighton & Hove Albion,104,03Oct
48,2,0,Brighton & Hove Albion,104,01Oct
49,1,0,Brighton & Hove Albion,104,24Sep
50,2,3,West Ham United,105,25Oct
51,,,West Ham United,105,24Oct
52,0,3,West Ham United,105,20Oct
53,1,1,West Ham United,105,14Oct
54,1,0,West Ham United,105,30Sep
55,3,0,Liverpool,105,01Nov
56,3,0,Liverpool,105,28Oct
57,4,1,Liverpool,105,22Oct
58,1,4,Liverpool,105,17Oct
59,0,7,Liverpool,105,17Oct
60,3,1,Tottenham Hotspur,106,01Nov
61,1,0,Tottenham Hotspur,106,28Oct
62,2,3,Tottenham Hotspur,106,25Oct
63,4,1,Tottenham Hotspur,106,22Oct
64,1,1,Tottenham Hotspur,106,17Oct
65,4,1,Crystal Palace,106,24Oct
66,1,0,Crystal Palace,106,21Oct
67,2,1,Crystal Palace,106,14Oct
68,4,0,Crystal Palace,106,30Sep
69,5,0,Crystal Palace,106,23Sep
70,2,4,Manchester City,107,01Nov
71,2,3,Manchester City,107,28Oct
72,,,Manchester City,107,24Oct
73,0,0,Manchester City,107,24Oct
74,3,0,Manchester City,107,21Oct
75,2,1,Arsenal,107,28Oct
76,2,1,Arsenal,107,24Oct
77,2,5,Arsenal,107,22Oct
78,0,1,Arsenal,107,19Oct
79,2,1,Arsenal,107,14Oct
80,3,0,Chelsea,108,31Oct
81,0,1,Chelsea,108,28Oct
82,2,1,Chelsea,108,25Oct
83,,,Chelsea,108,25Oct
84,4,2,Chelsea,108,21Oct
85,2,0,Manchester United,108,31Oct
86,1,0,Manchester United,108,28Oct
87,0,2,Manchester United,108,24Oct
88,2,1,Manchester United,108,21Oct
89,2,2,Manchester United,108,18Oct
90,,,Everton,109,31Oct
91,2,0,Everton,109,29Oct
92,2,1,Everton,109,25Oct
93,,,Everton,109,24Oct
94,2,5,Everton,109,22Oct
95,4,2,Watford,109,21Oct
96,2,1,Watford,109,14Oct
97,2,2,Watford,109,30Sep
98,1,2,Watford,109,23Sep
99,0,6,Watford,109,16Sep
100,0,0,Arsenal,110,02Nov
101,2,1,Arsenal,110,28Oct
102,2,1,Arsenal,110,24Oct
103,2,5,Arsenal,110,22Oct
104,0,1,Arsenal,110,19Oct
105,3,2,Tottenham Hotspur,110,01Nov
106,3,1,Tottenham Hotspur,110,01Nov
107,1,0,Tottenham Hotspur,110,28Oct
108,2,3,Tottenham Hotspur,110,25Oct
109,4,1,Tottenham Hotspur,110,22Oct
110,0,1,Bournemouth,111,28Oct
111,3,1,Bournemouth,111,24Oct
112,1,2,Bournemouth,111,21Oct
113,1,0,Bournemouth,111,14Oct
114,0,0,Bournemouth,111,30Sep
115,3,0,Huddersfield Town,111,28Oct
116,2,1,Huddersfield Town,111,21Oct
117,2,0,Huddersfield Town,111,14Oct
118,0,4,Huddersfield Town,111,30Sep
119,0,0,Huddersfield Town,111,23Sep
120,1,0,Burnley,112,30Oct
121,3,0,Burnley,112,21Oct
122,1,1,Burnley,112,14Oct
123,0,1,Burnley,112,01Oct
124,0,0,Burnley,112,23Sep
125,,,Swansea City,112,31Oct
126,2,1,Swansea City,112,28Oct
127,0,2,Swansea City,112,24Oct
128,1,2,Swansea City,112,21Oct
129,2,0,Swansea City,112,14Oct
130,2,2,Crystal Palace,113,28Oct
131,4,1,Crystal Palace,113,24Oct
132,1,0,Crystal Palace,113,21Oct
133,2,1,Crystal Palace,113,14Oct
134,4,0,Crystal Palace,113,30Sep
135,3,0,Everton,113,02Nov
136,,,Everton,113,31Oct
137,2,0,Everton,113,29Oct
138,2,1,Everton,113,25Oct
139,,,Everton,113,24Oct
140,2,2,Leicester City,114,04Nov
141,2,0,Leicester City,114,29Oct
142,3,1,Leicester City,114,24Oct
143,1,2,Leicester City,114,21Oct
144,1,1,Leicester City,114,16Oct
145,3,5,Manchester City,114,01Nov
146,2,4,Manchester City,114,01Nov
147,2,3,Manchester City,114,28Oct
148,,,Manchester City,114,24Oct
149,0,0,Manchester City,114,24Oct
150,3,0,Liverpool,115,01Nov
151,3,0,Liverpool,115,01Nov
152,3,0,Liverpool,115,28Oct
153,4,1,Liverpool,115,22Oct
154,1,4,Liverpool,115,17Oct
155,0,1,Southampton,115,04Nov
156,1,1,Southampton,115,29Oct
157,1,0,Southampton,115,21Oct
158,2,2,Southampton,115,15Oct
159,,,Southampton,115,03Oct
160,1,0,West Bromwich Albion,116,04Nov
161,2,3,West Bromwich Albion,116,28Oct
162,1,0,West Bromwich Albion,116,21Oct
163,1,1,West Bromwich Albion,116,16Oct
164,,,West Bromwich Albion,116,03Oct
165,1,2,Chelsea,116,31Oct
166,3,0,Chelsea,116,31Oct
167,0,1,Chelsea,116,28Oct
168,2,1,Chelsea,116,25Oct
169,,,Chelsea,116,25Oct
170,1,1,Manchester United,117,31Oct
171,2,0,Manchester United,117,31Oct
172,1,0,Manchester United,117,28Oct
173,0,2,Manchester United,117,24Oct
174,2,1,Manchester United,117,21Oct
175,0,1,Newcastle United,117,04Nov
176,1,0,Newcastle United,117,30Oct
177,1,0,Newcastle United,117,21Oct
178,2,2,Newcastle United,117,15Oct
179,,,Newcastle United,117,03Oct
180,0,1,Watford,118,28Oct
181,4,2,Watford,118,21Oct
182,2,1,Watford,118,14Oct
183,2,2,Watford,118,30Sep
184,1,2,Watford,118,23Sep
185,2,2,West Ham United,118,28Oct
186,2,3,West Ham United,118,25Oct
187,,,West Ham United,118,24Oct
188,0,3,West Ham United,118,20Oct
189,1,1,West Ham United,118,14Oct
190,0,1,Brighton & Hove Albion,119,04Nov
191,1,1,Brighton & Hove Albion,119,29Oct
192,0,3,Brighton & Hove Albion,119,20Oct
193,1,1,Brighton & Hove Albion,119,15Oct
194,,,Brighton & Hove Albion,119,03Oct
195,2,2,Stoke City,119,04Nov
196,0,1,Stoke City,119,28Oct
197,1,2,Stoke City,119,21Oct
198,7,2,Stoke City,119,14Oct
199,,,Stoke City,119,03Oct
200,1,4,West Ham United,120,04Nov
201,2,2,West Ham United,120,28Oct
202,2,3,West Ham United,120,25Oct
203,,,West Ham United,120,24Oct
204,0,3,West Ham United,120,20Oct
205,2,2,Leicester City,120,07Nov
206,2,2,Leicester City,120,04Nov
207,2,0,Leicester City,120,29Oct
208,3,1,Leicester City,120,24Oct
209,1,2,Leicester City,120,21Oct
210,1,0,Crystal Palace,121,05Nov
211,2,2,Crystal Palace,121,28Oct
212,4,1,Crystal Palace,121,24Oct
213,1,0,Crystal Palace,121,21Oct
214,2,1,Crystal Palace,121,14Oct
215,,,Stoke City,121,07Nov
216,2,2,Stoke City,121,04Nov
217,0,1,Stoke City,121,28Oct
218,1,2,Stoke City,121,21Oct
219,7,2,Stoke City,121,14Oct
220,1,0,Manchester United,122,22Nov
221,4,1,Manchester United,122,18Nov
222,1,0,Manchester United,122,05Nov
223,1,1,Manchester United,122,31Oct
224,2,0,Manchester United,122,31Oct
225,,,Brighton & Hove Albion,122,07Nov
226,0,1,Brighton & Hove Albion,122,04Nov
227,1,1,Brighton & Hove Albion,122,29Oct
228,0,3,Brighton & Hove Albion,122,20Oct
229,1,1,Brighton & Hove Albion,122,15Oct
230,,,Newcastle United,123,07Nov
231,0,1,Newcastle United,123,04Nov
232,1,0,Newcastle United,123,30Oct
233,1,0,Newcastle United,123,21Oct
234,2,2,Newcastle United,123,15Oct
235,3,2,Watford,123,05Nov
236,0,1,Watford,123,28Oct
237,4,2,Watford,123,21Oct
238,2,1,Watford,123,14Oct
239,2,2,Watford,123,30Sep
240,0,1,Swansea City,124,04Nov
241,,,Swansea City,124,31Oct
242,2,1,Swansea City,124,28Oct
243,0,2,Swansea City,124,24Oct
244,1,2,Swansea City,124,21Oct
245,0,1,Bournemouth,124,04Nov
246,0,1,Bournemouth,124,28Oct
247,3,1,Bournemouth,124,24Oct
248,1,2,Bournemouth,124,21Oct
249,1,0,Bournemouth,124,14Oct
250,1,2,Tottenham Hotspur,125,21Nov
251,2,0,Tottenham Hotspur,125,18Nov
252,1,0,Tottenham Hotspur,125,05Nov
253,3,2,Tottenham Hotspur,125,01Nov
254,3,1,Tottenham Hotspur,125,01Nov
255,,,West Bromwich Albion,125,07Nov
256,1,0,West Bromwich Albion,125,04Nov
257,2,3,West Bromwich Albion,125,28Oct
258,1,0,West Bromwich Albion,125,21Oct
259,1,1,West Bromwich Albion,125,16Oct
260,3,3,Liverpool,126,21Nov
261,3,0,Liverpool,126,18Nov
262,1,4,Liverpool,126,04Nov
263,3,0,Liverpool,126,01Nov
264,3,0,Liverpool,126,01Nov
265,0,4,Chelsea,126,22Nov
266,0,4,Chelsea,126,18Nov
267,1,0,Chelsea,126,05Nov
268,1,2,Chelsea,126,31Oct
269,3,0,Chelsea,126,31Oct
270,,,Southampton,127,07Nov
271,0,1,Southampton,127,04Nov
272,1,1,Southampton,127,29Oct
273,1,0,Southampton,127,21Oct
274,2,2,Southampton,127,15Oct
275,2,2,Everton,127,18Nov
276,3,2,Everton,127,05Nov
277,3,0,Everton,127,02Nov
278,,,Everton,127,31Oct
279,2,0,Everton,127,29Oct
280,0,1,Burnley,128,04Nov
281,1,0,Burnley,128,30Oct
282,3,0,Burnley,128,21Oct
283,1,1,Burnley,128,14Oct
284,0,1,Burnley,128,01Oct
285,2,0,Arsenal,128,18Nov
286,3,1,Arsenal,128,05Nov
287,0,0,Arsenal,128,02Nov
288,2,1,Arsenal,128,28Oct
289,2,1,Arsenal,128,24Oct
290,1,0,Huddersfield Town,129,04Nov
291,3,0,Huddersfield Town,129,28Oct
292,2,1,Huddersfield Town,129,21Oct
293,2,0,Huddersfield Town,129,14Oct
294,0,4,Huddersfield Town,129,30Sep
295,1,0,Manchester City,129,21Nov
296,0,2,Manchester City,129,18Nov
297,3,1,Manchester City,129,05Nov
298,3,5,Manchester City,129,01Nov
299,2,4,Manchester City,129,01Nov
300,2,2,Brighton & Hove Albion,130,20Nov
301,,,Brighton & Hove Albion,130,07Nov
302,0,1,Brighton & Hove Albion,130,04Nov
303,1,1,Brighton & Hove Albion,130,29Oct
304,0,3,Brighton & Hove Albion,130,20Oct
305,2,2,Crystal Palace,130,18Nov
306,1,0,Crystal Palace,130,05Nov
307,2,2,Crystal Palace,130,28Oct
308,4,1,Crystal Palace,130,24Oct
309,1,0,Crystal Palace,130,21Oct
