,name,position,team,game_id,player_id
0,Pope,XX,Burnley,71,67170
1,Lowton,DF,Burnley,71,42552
2,Tarkowski,DF,Burnley,71,55365
3,Mee,DF,Burnley,71,40793
4,Ward,DF,Burnley,71,8614
5,Defour,MF,Burnley,71,9295
6,Cork,DM,Burnley,71,12857
7,Brady,MF,Burnley,71,53118
8,Hendrick,MF,Burnley,71,47298
9,Arfield,MF,Burnley,71,11480
10,Wood,FW,Burnley,71,34201
11,Hart,XX,West Ham United,71,3184
12,Zabaleta,DF,West Ham United,71,1613
13,José Fonte,DF,West Ham United,71,3693
14,Reid,DF,West Ham United,71,6211
15,Cresswell,DF,West Ham United,71,44073
16,Kouyaté,DM,West Ham United,71,15881
17,Antonio,MF,West Ham United,71,40028
18,Lanzini,AM,West Ham United,71,50921
19,Arnautovic,FW,West Ham United,71,7579
20,Hernández,FW,West Ham United,71,16954
21,Carroll,FW,West Ham United,71,4054
22,Speroni,XX,Crystal Palace,72,12577
23,Ward,DF,Crystal Palace,72,27074
24,Dann,DF,Crystal Palace,72,25680
25,Sakho,DF,Crystal Palace,72,6221
26,van Aanholt,DF,Crystal Palace,72,39798
27,McArthur,MF,Crystal Palace,72,21554
28,Cabaye,MF,Crystal Palace,72,2776
29,Milivojević,DM,Crystal Palace,72,61174
30,Schlupp,DF,Crystal Palace,72,57386
31,Townsend,FW,Crystal Palace,72,45908
32,Zaha,FW,Crystal Palace,72,48792
33,Courtois,XX,Chelsea,72,34241
34,Azpilicueta,DF,Chelsea,72,6743
35,David Luiz,DF,Chelsea,72,6659
36,Cahill,DF,Chelsea,72,4194
37,Moses,MF,Chelsea,72,19680
38,Fàbregas,AM,Chelsea,72,239
39,Bakayoko,DM,Chelsea,72,82228
40,Marcos Alonso,DF,Chelsea,72,46166
41,Willian,FW,Chelsea,72,10229
42,Hazard,FW,Chelsea,72,14903
43,Batshuayi,FW,Chelsea,72,60973
44,Ederson Moraes,XX,Manchester City,73,74330
45,Walker,DF,Manchester City,73,37666
46,Stones,DF,Manchester City,73,58793
47,Otamendi,DF,Manchester City,73,21163
48,Delph,MF,Manchester City,73,25974
49,Fernandinho,DM,Manchester City,73,6084
50,Sterling,FW,Manchester City,73,69315
51,De Bruyne,AM,Manchester City,73,34705
52,Silva,AM,Manchester City,73,861
53,Sane,FW,Manchester City,73,88874
54,Gabriel Jesus,FW,Manchester City,73,100929
55,Butland,XX,Stoke City,73,61705
56,Edwards,DF,Stoke City,73,114693
57,Zouma,DF,Stoke City,73,62935
58,Wimmer,DF,Stoke City,73,58971
59,Pieters,DF,Stoke City,73,2302
60,Cameron,DF,Stoke City,73,18217
61,Fletcher,MF,Stoke City,73,54
62,Shaqiri,FW,Stoke City,73,36861
63,Jesé,FW,Stoke City,73,66640
64,Choupo Moting,FW,Stoke City,73,11127
65,Diouf,FW,Stoke City,73,18699
66,Fabiański,XX,Swansea City,74,347
67,Naughton,DF,Swansea City,74,16232
68,Fernández,DF,Swansea City,74,26953
69,Mawson,DF,Swansea City,74,82782
70,Olsson,DF,Swansea City,74,11655
71,Fer,MF,Swansea City,74,15022
