Game,Group,Team,Opponent,Home/Away,Team 1 Score,Team 2 Score,WDL,Pens?,Goals For,Goals Against,Pen Shootout For,Pen Shootout Against,Attempts,On-Target,Off-Target,Blocked,Woodwork,Corners,Offsides,Ball possession %,Pass Accuracy %,Passes,Passes Completed,Distance Covered km,Balls recovered,Tackles,Blocks,Clearances,Yellow cards,Red Cards,Second Yellow Card leading to Red Card,Fouls Committed
44,E,Switzerland,Costa Rica,home,2,2,D,,2,2,,,12,3,5,4,1,6,1,60,87,588,514,103,30,6,2,13,3,0,0,9
45,H,Japan,Poland,home,0,1,L,,0,1,,,10,3,4,3,0,5,1,54,86,557,478,83,41,8,4,26,1,0,0,11
46,H,Senegal,Colombia,home,0,1,L,,0,1,,,8,3,4,1,0,1,3,43,78,281,219,97,55,4,1,26,1,0,0,15
47,G,Panama,Tunisia,home,1,2,L,,1,2,,,9,4,4,1,0,0,4,36,77,284,220,102,36,9,4,33,3,0,0,18
48,G,England,Belgium,home,0,1,L,,0,1,,,13,1,7,5,0,7,3,48,88,484,424,109,32,13,7,10,0,0,0,11
49,Round of 16,France,Argentina,home,4,3,W,,4,3,,,9,4,4,1,1,0,0,41,84,351,295,97,35,12,4,20,3,0,0,21
50,Round of 16,Uruguay,Portugal,home,2,1,W,,2,1,,,6,3,2,1,0,2,0,39,70,266,185,106,40,19,8,34,0,0,0,13
51,Round of 16,Spain,Russia,home,1,1,L,y,1,1,3,4,25,9,6,10,0,6,1,75,91,1137,1031,137,42,7,2,9,1,0,0,5
52,Round of 16,Croatia,Denmark,home,1,1,W,y,1,1,3,2,22,7,8,7,0,5,2,54,81,625,506,132,54,9,2,36,0,0,0,5
53,Round of 16,Brazil,Mexico,home,2,0,W,,2,0,,,21,10,7,4,0,8,0,47,83,398,330,92,38,10,8,20,2,0,0,6
54,Round of 16,Belgium,Japan,home,3,2,W,,3,2,,,24,8,10,6,1,10,1,56,87,621,540,108,28,2,3,12,0,0,0,13
55,Round of 16,Sweden,Switzerland,home,1,0,W,,1,0,,,12,3,6,3,0,3,1,37,73,270,198,105,46,3,9,33,1,0,0,11
56,Round of 16,Colombia,England,home,1,1,L,y,1,1,3,4,14,4,7,3,0,2,1,49,78,516,405,136,59,17,5,39,6,0,0,23
57,Quarter-finals,Uruguay,France,home,0,2,L,,0,2,,,11,4,6,1,0,4,0,42,67,322,215,103,45,14,2,21,2,0,0,17
58,Quarter-finals,Brazil,Belgium,home,1,2,L,,1,2,,,26,9,7,10,1,8,1,57,89,557,493,104,41,6,2,7,2,0,0,14
59,Quarter-finals,Sweden,England,home,0,2,L,,0,2,,,7,3,3,1,0,1,2,43,74,379,280,107,36,5,6,37,2,0,0,10
60,Quarter-finals,Russia,Croatia,home,2,2,L,y,2,2,3,4,13,7,4,2,0,6,1,38,69,399,276,148,63,19,4,43,1,0,0,25
61,Semi-finals,France,Belgium,home,1,0,W,,1,0,,,19,5,8,6,0,4,1,40,86,342,294,102,44,16,1,30,2,0,0,6
62,Semi-finals,Croatia,England,home,2,1,W,,2,1,,,22,7,11,4,1,8,1,54,79,622,494,143,51,18,4,32,2,0,0,23
63,Play-off for third place,Belgium,England,home,2,0,W,,2,0,,,12,4,3,5,0,4,1,43,88,510,450,108,34,4,3,27,1,0,0,11
64,Final,France,Croatia,home,4,2,W,,4,2,,,8,6,1,1,0,2,1,39,75,271,202,99,45,12,4,35,2,0,0,14
