,country,temp_in_celcius,rain_mm_per_year,gdp(millions_dollars),population,gdp(dollars),gdp_dollar_per_person
76.00,Mauritius,22.40,2041.00,12273.00,1268315.00,12273000000.00,9676.62
77.00,Dominica,22.35,2083.00,608.00,74308.00,608000000.00,8182.16
78.00,Tanzania,22.35,1071.00,51725.00,59091392.00,51725000000.00,875.34
79.00,Ethiopia,22.20,848.00,80874.00,107534882.00,80874000000.00,752.07
80.00,Egypt,22.10,51.00,237073.00,99375741.00,237000000000.00,2385.62
81.00,Malawi,21.90,1181.00,6261.00,19164728.00,6261000000.00,326.69
82.00,Ecuador,21.85,2087.00,102311.00,16863425.00,102000000000.00,6067.04
83.00,Libya,21.80,56.00,31331.00,6470956.00,31331000000.00,4841.79
84.00,Australia,21.65,534.00,1379548.00,24772247.00,1380000000000.00,55689.26
85.00,Angola,21.55,1010.00,124209.00,30774205.00,124000000000.00,4036.14
86.00,Bolivia,21.55,1146.00,37122.00,11215674.00,37122000000.00,3309.83
87.00,Botswana,21.50,416.00,16725.00,2333201.00,16725000000.00,7168.26
88.00,Iraq,21.40,216.00,197699.00,39339753.00,198000000000.00,5025.43
89.00,Zambia,21.40,1020.00,25504.00,17609178.00,25504000000.00,1448.34
90.00,Mexico,21.00,752.00,1149236.00,130759074.00,1150000000000.00,8788.96
91.00,Zimbabwe,21.00,657.00,17105.00,16913261.00,17105000000.00,1011.34
92.00,Pakistan,20.20,494.00,303993.00,200813818.00,304000000000.00,1513.81
93.00,Namibia,19.95,285.00,12558.00,2587801.00,12558000000.00,4852.77
94.00,Burundi,19.80,1274.00,3393.00,11216450.00,3393000000.00,302.50
95.00,Peru,19.60,1738.00,215224.00,32551815.00,215000000000.00,6611.74
96.00,Israel,19.20,435.00,350609.00,8452841.00,351000000000.00,41478.24
97.00,Malta,19.20,560.00,12011.00,432089.00,12011000000.00,27797.51
98.00,Tunisia,19.20,207.00,40275.00,11659174.00,40275000000.00,3454.36
99.00,Cyprus,18.45,498.00,21310.00,1189085.00,21310000000.00,17921.34
100.00,Jordan,18.30,111.00,40487.00,9903802.00,40487000000.00,4088.03
101.00,Rwanda,17.85,1212.00,8918.00,12501156.00,8918000000.00,713.37
102.00,South Africa,17.75,495.00,349299.00,57398421.00,349000000000.00,6085.52
103.00,Syria,17.75,252.00,77460.00,18284407.00,77460000000.00,4236.40
104.00,Uruguay,17.55,1265.00,58415.00,3469551.00,58415000000.00,16836.47
105.00,Iran,17.25,228.00,431920.00,82011735.00,432000000000.00,5266.56
105.00,IR Iran,17.25,228.00,431920.00,82011735.00,432000000000.00,5266.56
106.00,Morocco,17.10,346.00,109824.00,36191805.00,110000000000.00,3034.50
107.00,Lebanon,16.40,661.00,51457.00,6093509.00,51457000000.00,8444.56
108.00,Greece,15.40,652.00,200690.00,11142161.00,201000000000.00,18011.77
109.00,Portugal,15.15,854.00,218064.00,10291196.00,218000000000.00,21189.37
110.00,Turkmenistan,15.10,161.00,37926.00,5851466.00,37926000000.00,6481.45
111.00,Argentina,14.80,591.00,637717.00,44688864.00,638000000000.00,14270.15
112.00,Italy,13.45,832.00,1937894.00,59290969.00,1940000000000.00,32684.47
113.00,Spain,13.30,636.00,1313951.00,46397452.00,1310000000000.00,28319.46
114.00,Afghanistan,12.60,327.00,20889.00,36373176.00,20889000000.00,574.30
115.00,Uzbekistan,12.05,206.00,47883.00,32364996.00,47883000000.00,1479.47
116.00,Azerbaijan,11.95,447.00,40670.00,9923914.00,40670000000.00,4098.18
117.00,Lesotho,11.85,788.00,2721.00,2263010.00,2721000000.00,1202.38
118.00,Korea Republic,11.50,1274.00,1538030.00,51164435.00,1540000000000.00,30060.53
118.00,South Korea,11.50,1274.00,1538030.00,51164435.00,1540000000000.00,30060.53
119.00,Albania,11.40,1485.00,13001.00,2934363.00,13001000000.00,4430.60
120.00,Japan,11.15,1668.00,4872135.00,127185332.00,4870000000000.00,38307.37
121.00,Turkey,11.10,593.00,849480.00,81916871.00,849000000000.00,10370.03
122.00,Croatia,10.90,1113.00,54516.00,4164783.00,54516000000.00,13089.76
123.00,France,10.70,867.00,2583560.00,65233271.00,2580000000000.00,39604.94
124.00,Bulgaria,10.55,608.00,56943.00,7036848.00,56943000000.00,8092.12
125.00,New Zealand,10.55,1732.00,201485.00,4749598.00,201000000000.00,42421.48
126.00,Serbia and Montenegro,10.55,680.00,41471.00,8762027.00,41471000000.00,4733.04
126.00,Serbia,10.55,680.00,41471.00,8762027.00,41471000000.00,4733.04
127.00,Bosnia and Herzegovina,9.85,1028.00,17457.00,3503554.00,17457000000.00,4982.65
128.00,Hungary,9.75,589.00,152284.00,9688847.00,152000000000.00,15717.45
129.00,Belgium,9.55,847.00,494733.00,11498519.00,495000000000.00,43025.80
130.00,Moldova,9.45,450.00,7945.00,4041065.00,7945000000.00,1966.07
131.00,Netherlands,9.25,778.00,825745.00,17084459.00,826000000000.00,48333.11
132.00,Slovenia,8.90,1162.00,48868.00,2081260.00,48868000000.00,23480.01
133.00,Romania,8.80,637.00,211315.00,19580634.00,211000000000.00,10792.04
134.00,Luxembourg,8.65,934.00,62393.00,590321.00,62393000000.00,105693.34
135.00,USA,8.55,715.00,19390600.00,326766748.00,19400000000000.00,59340.80
135.00,United States,8.55,715.00,19390600.00,326766748.00,19400000000000.00,59340.80
136.00,Germany,8.50,700.00,3684816.00,82293457.00,3680000000000.00,44776.54
137.00,Chile,8.45,1522.00,277042.00,18197209.00,277000000000.00,15224.42
138.00,England,8.45,1220.00,2624529.00,66573504.00,2620000000000.00,39423.03
138.00,United Kingdom,8.45,1220.00,2624529.00,66573504.00,2620000000000.00,39423.03
139.00,Ukraine,8.30,1875.00,109321.00,44009214.00,109000000000.00,2484.05
140.00,Nepal,8.10,1500.00,24472.00,29624035.00,24472000000.00,826.09
141.00,Poland,7.85,600.00,524886.00,38104832.00,525000000000.00,13774.79
142.00,Czech Republic,7.55,677.00,213189.00,10625250.00,213000000000.00,20064.37
143.00,Denmark,7.50,703.00,324484.00,5754356.00,324000000000.00,56389.28
144.00,Bhutan,7.40,2200.00,2321.00,817054.00,2321000000.00,2840.69
145.00,Armenia,7.15,562.00,11037.00,2934152.00,11037000000.00,3761.56
146.00,China,6.95,645.00,12014610.00,1415045928.00,12000000000000.00,8490.61
147.00,Slovakia,6.80,824.00,95938.00,5449816.00,95938000000.00,17603.90
148.00,Kazakhstan,6.40,250.00,160839.00,18403860.00,161000000000.00,8739.42
149.00,Austria,6.35,1110.00,416845.00,8751820.00,417000000000.00,47629.52
150.00,Belarus,6.15,618.00,54436.00,9452113.00,54436000000.00,5759.14
151.00,Lithuania,6.20,656.00,47263.00,2876475.00,47263000000.00,16430.87
152.00,Korea DPR,5.70,1054.00,12600.00,25490000.00,12600000000.00,1800.00
152.00,North Korea,5.70,1054.00,12600.00,25490000.00,12600000000.00,1800.00
153.00,Latvia,5.60,641.00,30319.00,1929938.00,30319000000.00,15709.83
154.00,Switzerland,5.50,1537.00,678575.00,8544034.00,679000000000.00,79420.92
155.00,Estonia,5.10,626.00,25973.00,1306788.00,25973000000.00,19875.45
156.00,Sweden,2.10,624.00,538575.00,9982709.00,539000000000.00,53950.79
157.00,Tajikistan,2.00,691.00,7234.00,9107211.00,7234000000.00,794.32
158.00,Iceland,1.75,1940.00,23909.00,337780.00,23909000000.00,70782.76
159.00,Finland,1.70,536.00,253244.00,5542517.00,253000000000.00,45691.15
160.00,Kyrgyzstan,1.55,533.00,7061.00,6132932.00,7061000000.00,1151.33
161.00,Norway,1.50,1414.00,396457.00,5353363.00,396000000000.00,74057.56
163.00,Russia,15.10,460.00,1527469.00,143964709.00,1530000000000.00,10610.02
