,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,Home Team Result,Home Rank,Away Rank,Home Temp,Home Rain,Home GDP (millions),Home Population,Home GDP per Person (dollars),Away Temp,Away Rain,Away GDP (millions),Away Population,Away GDP per Person (dollars),Home Team Line,Away Team Line
14,2006,25 Jun 2006 - 17:00 ,Round of 16,Gottlieb-Daimler-Stadion,Stuttgart ,England,1,0,Ecuador, ,52000.0,0,0,DE BLEECKERE Frank (BEL),HERMANS Peter (BEL),VROMANS Walter (BEL),97410200,97410051,ENG,ECU,W,10,39,8.45,1220.0,2624529.0,66573504.0,39423.03,21.85,2087.0,102311.0,16863425.0,6067.04,700,20000
15,2006,10 Jun 2006 - 15:00 ,Group B,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,England,1,0,Paraguay, ,48000.0,1,0,RODRIGUEZ Marco (MEX),CAMARGO Jose Luis (MEX),LEAL Leonel (CRC),97410100,97410003,ENG,PAR,W,10,33,8.45,1220.0,2624529.0,66573504.0,39423.03,23.55,1130.0,29619.0,6896908.0,4294.53,700,15000
16,2006,15 Jun 2006 - 21:00 ,Group B,Olympiastadion,Berlin ,Sweden,1,0,Paraguay, ,72000.0,0,0,MICHEL Lubos (SVK),Roman SLYSKO (SVK),BALKO Martin (SVK),97410100,97410020,SWE,PAR,W,16,33,2.10,624.0,538575.0,9982709.0,53950.79,23.55,1130.0,29619.0,6896908.0,4294.53,3000,15000
17,2006,15 Jun 2006 - 18:00 ,Group B,Franken-Stadion,Nuremberg ,England,2,0,Trinidad and Tobago, ,41000.0,0,0,KAMIKAWA Toru (JPN),HIROSHIMA Yoshikazu (JPN),KIM Dae Young (KOR),97410100,97410019,ENG,TRI,W,10,47,8.45,1220.0,2624529.0,66573504.0,39423.03,25.75,2200.0,20300.0,1372598.0,14789.47,700,30000
18,2006,20 Jun 2006 - 21:00 ,Group B,Fritz-Walter-Stadion,Kaiserslautern ,Paraguay,2,0,Trinidad and Tobago, ,46000.0,1,0,ROSETTI Roberto (ITA),COPELLI Cristiano (ITA),STAGNOLI Alessandro (ITA),97410100,97410036,PAR,TRI,W,33,47,23.55,1130.0,29619.0,6896908.0,4294.53,25.75,2200.0,20300.0,1372598.0,14789.47,15000,30000
19,2006,10 Jun 2006 - 21:00 ,Group C,"FIFA World Cup Stadium, Hamburg",Hamburg ,Argentina,2,1,Ivory Coast, ,49480.0,2,0,DE BLEECKERE Frank (BEL),HERMANS Peter (BEL),VROMANS Walter (BEL),97410100,97410005,ARG,CIV,W,9,32,14.80,591.0,637717.0,44688864.0,14270.15,26.35,1348.0,40360.0,24905843.0,1620.5,800,8000
20,2006,16 Jun 2006 - 18:00 ,Group C,Gottlieb-Daimler-Stadion,Stuttgart ,Netherlands,2,1,Ivory Coast, ,52000.0,2,1,RUIZ Oscar (COL),TAMAYO Fernando (ECU),NAVIA Jose (COL),97410100,97410022,NED,CIV,W,3,32,9.25,778.0,825745.0,17084459.0,48333.11,26.35,1348.0,40360.0,24905843.0,1620.5,1000,8000
21,2006,16 Jun 2006 - 15:00 ,Group C,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Argentina,6,0,Serbia and Montenegro, ,52000.0,3,0,ROSETTI Roberto (ITA),COPELLI Cristiano (ITA),STAGNOLI Alessandro (ITA),97410100,97410021,ARG,SCG,W,9,44,14.80,591.0,637717.0,44688864.0,14270.15,10.55,680.0,41471.0,8762027.0,4733.04,800,8000
22,2006,21 Jun 2006 - 21:00 ,Group C,"FIFA World Cup Stadium, Munich",Munich ,Ivory Coast,3,2,Serbia and Montenegro, ,66000.0,1,2,RODRIGUEZ Marco (MEX),CAMARGO Jose Luis (MEX),LEAL Leonel (CRC),97410100,97410038,CIV,SCG,W,32,44,26.35,1348.0,40360.0,24905843.0,1620.5,10.55,680.0,41471.0,8762027.0,4733.04,8000,8000
23,2006,24 Jun 2006 - 21:00 ,Round of 16,Zentralstadion,Leipzig ,Argentina,2,1,Mexico,Argentina win after extra time ,43000.0,0,0,BUSACCA Massimo (SUI),BURAGINA Francesco (SUI),ARNET Matthias (SUI),97410200,97410050,ARG,MEX,W,9,4,14.80,591.0,637717.0,44688864.0,14270.15,21.00,752.0,1149236.0,130759074.0,8788.96,800,3500
24,2006,21 Jun 2006 - 16:00 ,Group D,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Portugal,2,1,Mexico, ,52000.0,2,1,MICHEL Lubos (SVK),Roman SLYSKO (SVK),BALKO Martin (SVK),97410100,97410039,POR,MEX,W,7,4,15.15,854.0,218064.0,10291196.0,21189.37,21.00,752.0,1149236.0,130759074.0,8788.96,1800,3500
25,2006,11 Jun 2006 - 15:00 ,Group C,Zentralstadion,Leipzig ,Serbia and Montenegro,0,1,Netherlands, ,43000.0,0,1,MERK Markus (GER),SCHRAER Christian (GER),SALVER Jan-Hendrik (GER),97410100,97410006,SCG,NED,L,44,3,10.55,680.0,41471.0,8762027.0,4733.04,9.25,778.0,825745.0,17084459.0,48333.11,8000,1000
26,2006,25 Jun 2006 - 21:00 ,Round of 16,Franken-Stadion,Nuremberg ,Portugal,1,0,Netherlands, ,41000.0,1,0,IVANOV Valentin (RUS),GOLUBEV Nikolai (RUS),VOLNIN Evgueni (RUS),97410200,97410052,POR,NED,W,7,3,15.15,854.0,218064.0,10291196.0,21189.37,9.25,778.0,825745.0,17084459.0,48333.11,1800,1000
27,2006,11 Jun 2006 - 18:00 ,Group D,Franken-Stadion,Nuremberg ,Mexico,3,1,Iran, ,41000.0,1,1,ROSETTI Roberto (ITA),COPELLI Cristiano (ITA),STAGNOLI Alessandro (ITA),97410100,97410007,MEX,IRN,W,4,23,21.00,752.0,1149236.0,130759074.0,8788.96,17.25,228.0,431920.0,82011735.0,5266.56,3500,30000
28,2006,17 Jun 2006 - 15:00 ,Group D,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Portugal,2,0,Iran, ,48000.0,0,0,POULAT Eric (FRA),DAGORNE Lionel (FRA),TEXIER Vincent (FRA),97410100,97410024,POR,IRN,W,7,23,15.15,854.0,218064.0,10291196.0,21189.37,17.25,228.0,431920.0,82011735.0,5266.56,1800,30000
29,2006,16 Jun 2006 - 21:00 ,Group D,"FIFA World Cup Stadium, Hanover",Hanover ,Mexico,0,0,Angola, ,43000.0,0,0,MAIDIN Shamsul (SIN),PERMPANICH Prachya (THA),GHULOUM Eisa (UAE),97410100,97410023,MEX,ANG,D,4,57,21.00,752.0,1149236.0,130759074.0,8788.96,21.55,1010.0,124209.0,30774205.0,4036.14,3500,30000
30,2006,21 Jun 2006 - 16:00 ,Group D,Zentralstadion,Leipzig ,Iran,1,1,Angola, ,38000.0,0,0,SHIELD Mark (AUS),GIBSON Nathan (AUS),WILSON Ben (AUS),97410100,97410040,IRN,ANG,D,23,57,17.25,228.0,431920.0,82011735.0,5266.56,21.55,1010.0,124209.0,30774205.0,4036.14,30000,30000
31,2006,12 Jun 2006 - 15:00 ,Group F,Fritz-Walter-Stadion,Kaiserslautern ,Australia,3,1,Japan, ,46000.0,0,1,ABD EL FATAH Essam (EGY),DANTE Dramane (MLI),NDOYE Mamadou (SEN),97410100,97410012,AUS,JPN,W,42,18,21.65,534.0,1379548.0,24772247.0,55689.26,11.15,1668.0,4872135.0,127185332.0,38307.37,10000,15000
32,2006,12 Jun 2006 - 18:00 ,Group E,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,USA,0,3,Czech Republic, ,52000.0,0,2,AMARILLA Carlos (PAR),ANDINO Amelio (PAR),BERNAL Manuel (PAR),97410100,97410010,USA,CZE,L,5,2,8.55,715.0,19390600.0,326766748.0,59340.8,7.55,677.0,213189.0,10625250.0,20064.37,5000,2000
