,name,age,position,ovr_rating,pot_rating
0,Borja Valero,29,CM,82,84
1,Rodrigo Palacio,32,ST,82,82
2,Joe Hart,27,GK,82,83
3,Soldado,29,ST,82,82
4,Pablo Zabaleta,29,RB,82,82
5,Nani,27,RMLM,82,82
6,Fernandinho,29,CMCDM,82,83
7,Jefferson,31,GK,82,82
8,René Adler,29,GK,82,85
9,Per Mertesacker,29,CB,82,82
10,Fernando Torres,30,ST,82,82
11,Júlio César,35,GK,82,82
12,Rafael van der Vaart,31,CAMCFCM,82,82
13,Dimitar Berbatov,33,STCAM,82,82
14,José Reina,32,GK,82,83
15,Miroslav Klose,36,ST,82,82
16,Samuel Eto'o,33,ST,82,82
17,Gianluigi Buffon,36,GK,82,82
18,Francisco Amorebielsa,28,CBLB,81,82
19,Omar Luis Cardosa,30,ST,81,81
20,Raphaël Varane,21,CB,81,88
21,Aymen Abdennour,25,CB,81,85
22,Jackson Martínez,27,ST,81,85
23,Paul Pogba,21,CM,81,90
24,Kevin De Bruyne,23,CAMCMLMRM,81,86
25,Holger Badstuber,25,CBLB,81,84
26,Nemanja Matić,26,CDM,81,85
27,Sandro,25,CDMCM,81,84
28,Wilfried Bony,25,ST,81,84
29,Kevin Strootman,24,CM,81,86
0,Thiago,23,CMCAMCDM,81,85
1,Shinji Kagawa,25,LMCFCAM,81,85
2,Coutinho,22,CAMLM,81,86
3,Paulinho,26,CMCDM,81,85
4,Onur Kivrak,26,GK,81,84
5,Luiz Gustavo,27,CDMLBCB,81,83
6,José Callejón,27,CAMRM,81,84
7,Ramires,27,CDMCM,81,82
8,Sofiane Feghouli,24,RMCAM,81,87
9,Christian Benteke,23,ST,81,87
10,Mamadou Sakho,24,CB,81,85
11,Éverton Ribeiro,25,CAM,81,83
12,Benedikt Höwedes,26,CBRB,81,84
13,Éver Banega,26,CMCAM,81,84
14,Alessio Cerci,27,CFRW,81,84
15,Branislav Ivanović,30,RBCB,81,81
16,Rui Patrício,26,GK,81,84
17,Sidney Sam,26,RWCF,81,83
18,Sven Bender,25,CDM,81,84
19,Lars Bender,25,CMCDM,81,84
20,Jonas,30,CAMSTLM,81,81
21,Claudio Bravo,31,GK,81,81
22,Kevin Mirallas,26,RM,81,83
23,Ivan Rakitić,26,CAMCMCDM,81,84
24,Miranda,30,CB,81,82
25,Yohan Cabaye,28,CMCAMCDM,81,82
26,Antonio Valencia,29,RM,81,81
27,Martin Škrtel,29,CB,81,81
28,Diego Alves,29,GK,81,85
29,Theo Walcott,25,RMRW,81,85
0,Mbark Boussoufa,30,CAM,81,81
1,Clint Dempsey,31,CFCAMST,81,81
2,Daniel Agger,29,CB,81,81
3,Rio Antonio Mavuba,30,CDM,81,81
4,Gabi,31,CMCDM,81,81
5,Federico Marchetti,31,GK,81,81
6,Bruno Alves,32,CB,81,81
7,Stefan Kießling,30,ST,81,81
8,Fábio,33,GK,81,81
9,Hugo Campagnaro,34,CB,81,81
10,Ronaldinho,34,CAM,81,81
11,Tim Howard,35,GK,81,81
12,Tomáš Rosický,33,CAMRM,81,81
13,Antonio Cassano,32,CF,81,81
14,Francesco Totti,37,CF,81,81
15,Luis Barrogios,30,ST,80,80
16,Bernard,22,CAM,80,86
17,Iñigo Martínez,23,CB,80,86
18,Julian Draxler,20,LMCAMRM,80,86
19,Roberto Firmino,22,CAMRMLMST,80,85
20,Dušan Tadić,25,LWCAMRW,80,83
21,Xherdan Shaqiri,22,RMLMCAM,80,86
22,André Schürrle,23,LMRM,80,85
23,Romelu Lukaku,21,ST,80,86
24,Ciro Immobile,24,ST,80,86
25,Stephan El Shaarawy,21,LW,80,88
26,Illarramendi,24,CMCDM,80,85
27,Eliaquim Mangala,23,CB,80,86
28,Kevin Trapp,24,GK,80,84
29,Alberto Costa,29,CM,80,83
0,Pierre-Emerick Aubameyang,25,RMSTRW,80,83
1,Alan Dzagoev,24,CAMCDMLM,80,84
2,Kwadwo Asamoah,25,LM,80,85
3,Wojciech Szczęsny,24,GK,80,83
4,Jonathan Biabiany,26,RW,80,84
5,Bruno,30,CDMCM,80,80
6,Roberto,28,GK,80,83
7,Adil Rami,28,CB,80,84
8,Dame N'Doye,29,ST,80,80
9,Óscar Cardozo,31,ST,80,80
10,Loïc Rémy,27,STLWRW,80,81
11,Radja Nainggolan,26,CM,80,82
12,Miguel Veloso,28,CDMCM,80,83
13,Axel Witsel,25,CMCDM,80,85
14,Mathieu Valbuena,29,CAMRW,80,80
15,Demba Ba,29,ST,80,80
16,Marouane Fellaini,26,CDMCM,80,82
17,Lucas Leiva,27,CDMCM,80,82
18,Kevin-Prince Boateng,27,CMCAMST,80,84
19,Naldo,32,CB,80,80
20,Cristian Rodríguez,28,LM,80,81
21,Giovani dos Santos,25,ST,80,83
22,Erik Lamela,22,RWCAM,80,85
23,Fredy Guarín,28,CMCAM,80,84
24,Gonzalo Castro,27,CMRMRBCF,80,82
25,Gabriel Paletta,28,CB,80,83
26,Michu,28,STCAM,80,80
27,Gary Cahill,28,CB,80,80
28,Bacary Sagna,31,RB,80,80
29,Vedad Ibišević,30,ST,80,80
0,Moussa Dembélé,27,CMCDMCAM,80,82
1,Riccardo Montolivo,29,CDMCM,80,84
2,Mathieu Debuchy,29,RB,80,80
3,Raúl Albiol,29,CB,80,82
