,Team,Jun 17,Result
0,Brazil,+250,**  WINNER  **
1,Germany,+300,
2,Italy,+350,
3,Argentina,+600,
4,Netherlands,+1000,
5,Colombia,+1200,
6,Bolivia,+2000,
7,Russia,+2000,
8,Spain,+2000,
9,Belgium,+2200,
10,Norway,+2500,
11,Sweden,+2500,
12,Mexico,+3000,
13,Republic of Ireland,+3000,
14,Switzerland,+4000,
15,USA,+4000,
16,Bulgaria,+5000,
17,Cameroon,+5000,
18,Romania,+5000,
19,Greece,+7500,
20,Morocco,+7500,
21,Nigeria,+7500,
22,Saudi Arabia,+10000,
23,South Korea,+10000,
