,Team,May 30,Result
0,Argentina,+300,**  WINNER  **
1,Brazil,+250,
2,France,+350,
3,England,+400,
4,Uruguay,+450,
5,Mexico,+500,
6,Italy,+600,
7,Denmark,+800,
8,West Germany,+1000,
9,Spain,+1200,
10,Soviet Union,+1300,
11,Hungary,+1500,
12,Belgium,+1800,
13,Poland,+2000,
14,Paraguay,+2200,
15,Scotland,+2500,
16,Portugal,+2800,
17,Bulgaria,+3500,
18,Northern Ireland,+5000,
19,South Korea,+7500,
20,Algeria,+10000,
21,Morocco,+15000,
22,Iraq,+20000,
23,Canada,+35000,
