,Team,Jun 8,Result
0,West Germany,+600,**  WINNER  **
1,Italy,+250,
2,Brazil,+450,
3,Netherlands,+450,
4,Argentina,+800,
5,Soviet Union,+1200,
6,England,+1400,
7,Spain,+1400,
8,Belgium,+2500,
9,Uruguay,+2500,
10,Yugoslavia,+2500,
11,Republic of Ireland,+3300,
12,Scotland,+3300,
13,Sweden,+3300,
14,Austria,+5000,
15,Colombia,+5000,
16,Czechoslovakia,+6600,
17,Romania,+6600,
18,Cameroon,+25000,
19,Egypt,+25000,
20,South Korea,+25000,
21,Costa Rico,+50000,
22,United Arab Emirates,+50000,
23,USA,+50000,
